Date,Price
12/30/2024,"1,525"
12/27/2024,"1,525"
12/24/2024,"1,435"
12/23/2024,"1,455"
12/20/2024,"1,420"
12/19/2024,"1,470"
12/18/2024,"1,515"
12/17/2024,"1,510"
12/16/2024,"1,560"
12/13/2024,"1,585"
12/12/2024,"1,615"
12/11/2024,"1,600"
12/10/2024,"1,625"
12/9/2024,"1,490"
12/6/2024,"1,485"
12/5/2024,"1,490"
12/4/2024,"1,465"
12/3/2024,"1,450"
12/2/2024,"1,410"
11/29/2024,"1,430"
11/28/2024,"1,420"
11/26/2024,"1,450"
11/25/2024,"1,485"
11/22/2024,"1,450"
11/21/2024,"1,490"
11/20/2024,"1,470"
11/19/2024,"1,475"
11/18/2024,"1,395"
11/15/2024,"1,400"
11/14/2024,"1,480"
11/13/2024,"1,500"
11/12/2024,"1,565"
11/11/2024,"1,530"
11/8/2024,"1,585"
11/7/2024,"1,575"
11/6/2024,"1,540"
11/5/2024,"1,575"
11/4/2024,"1,525"
11/1/2024,"1,520"
10/31/2024,"1,600"
10/30/2024,"1,630"
10/29/2024,"1,615"
10/28/2024,"1,610"
10/25/2024,"1,585"
10/24/2024,"1,620"
10/23/2024,"1,650"
10/22/2024,"1,670"
10/21/2024,"1,690"
10/18/2024,"1,625"
10/17/2024,"1,620"
10/16/2024,"1,570"
10/15/2024,"1,600"
10/14/2024,"1,630"
10/11/2024,"1,565"
10/10/2024,"1,535"
10/9/2024,"1,515"
10/8/2024,"1,525"
10/7/2024,"1,545"
10/4/2024,"1,525"
10/3/2024,"1,535"
10/2/2024,"1,535"
10/1/2024,"1,500"
9/30/2024,"1,480"
9/27/2024,"1,470"
9/26/2024,"1,425"
9/25/2024,"1,440"
9/24/2024,"1,410"
9/23/2024,"1,395"
9/20/2024,"1,370"
9/19/2024,"1,375"
9/18/2024,"1,365"
9/17/2024,"1,380"
9/13/2024,"1,335"
9/12/2024,"1,345"
9/11/2024,"1,315"
9/10/2024,"1,320"
9/9/2024,"1,320"
9/6/2024,"1,335"
9/5/2024,"1,345"
9/4/2024,"1,345"
9/3/2024,"1,370"
9/2/2024,"1,395"
8/30/2024,"1,390"
8/29/2024,"1,410"
8/28/2024,"1,450"
8/27/2024,"1,470"
8/26/2024,"1,480"
8/23/2024,"1,450"
8/22/2024,"1,440"
8/21/2024,"1,470"
8/20/2024,"1,475"
8/19/2024,"1,470"
8/16/2024,"1,460"
8/15/2024,"1,385"
8/14/2024,"1,305"
8/13/2024,"1,310"
8/12/2024,"1,310"
8/9/2024,"1,285"
8/8/2024,"1,270"
8/7/2024,"1,295"
8/6/2024,"1,295"
8/5/2024,"1,285"
8/2/2024,"1,345"
8/1/2024,"1,345"
7/31/2024,"1,315"
7/30/2024,"1,300"
7/29/2024,"1,310"
7/26/2024,"1,295"
7/25/2024,"1,280"
7/24/2024,"1,310"
7/23/2024,"1,315"
7/22/2024,"1,340"
7/19/2024,"1,350"
7/18/2024,"1,375"
7/17/2024,"1,380"
7/16/2024,"1,340"
7/15/2024,"1,350"
7/12/2024,"1,360"
7/11/2024,"1,360"
7/10/2024,"1,345"
7/9/2024,"1,345"
7/8/2024,"1,365"
7/5/2024,"1,310"
7/4/2024,"1,325"
7/3/2024,"1,315"
7/2/2024,"1,295"
7/1/2024,"1,305"
6/28/2024,"1,250"
6/27/2024,"1,230"
6/26/2024,"1,215"
6/25/2024,"1,225"
6/24/2024,"1,250"
6/21/2024,"1,230"
6/20/2024,"1,215"
6/19/2024,"1,215"
6/14/2024,"1,210"
6/13/2024,"1,255"
6/12/2024,"1,270"
6/11/2024,"1,255"
6/10/2024,"1,240"
6/7/2024,"1,300"
6/6/2024,"1,315"
6/5/2024,"1,340"
6/4/2024,"1,440"
6/3/2024,"1,470"
5/31/2024,"1,465"
5/30/2024,"1,490"
5/29/2024,"1,525"
5/28/2024,"1,515"
5/27/2024,"1,495"
5/22/2024,"1,525"
5/21/2024,"1,565"
5/20/2024,"1,655"
5/17/2024,"1,620"
5/16/2024,"1,565"
5/15/2024,"1,565"
5/14/2024,"1,525"
5/13/2024,"1,525"
5/8/2024,"1,535"
5/7/2024,"1,505"
5/6/2024,"1,515"
5/3/2024,"1,490"
5/2/2024,"1,510"
4/30/2024,"1,640"
4/29/2024,"1,615"
4/26/2024,"1,595"
4/25/2024,"1,590"
4/24/2024,"1,680"
4/23/2024,"1,740"
4/22/2024,"1,770"
4/19/2024,"1,760"
4/18/2024,"1,725"
4/17/2024,"1,795"
4/16/2024,"1,810"
4/5/2024,"1,670"
4/4/2024,"1,660"
4/3/2024,"1,645"
4/2/2024,"1,640"
4/1/2024,"1,580"
3/28/2024,"1,600"
3/27/2024,"1,635"
3/26/2024,"1,665"
3/25/2024,"1,660"
3/22/2024,"1,670"
3/21/2024,"1,700"
3/20/2024,"1,660"
3/19/2024,"1,660"
3/18/2024,"1,655"
3/15/2024,"1,615"
3/14/2024,"1,645"
3/13/2024,"1,620"
3/8/2024,"1,565"
3/7/2024,"1,575"
3/6/2024,"1,525"
3/5/2024,"1,460"
3/4/2024,"1,460"
3/1/2024,"1,480"
2/29/2024,"1,460"
2/28/2024,"1,490"
2/27/2024,"1,480"
2/26/2024,"1,515"
2/23/2024,"1,550"
2/22/2024,"1,500"
2/21/2024,"1,470"
2/20/2024,"1,505"
2/19/2024,"1,515"
2/16/2024,"1,530"
2/15/2024,"1,540"
2/13/2024,"1,545"
2/12/2024,"1,465"
2/7/2024,"1,410"
2/6/2024,"1,425"
2/5/2024,"1,440"
2/2/2024,"1,525"
2/1/2024,"1,535"
1/31/2024,"1,550"
1/30/2024,"1,565"
1/29/2024,"1,565"
1/26/2024,"1,575"
1/25/2024,"1,555"
1/24/2024,"1,535"
1/23/2024,"1,610"
1/22/2024,"1,645"
1/19/2024,"1,645"
1/18/2024,"1,620"
1/17/2024,"1,605"
1/16/2024,"1,605"
1/15/2024,"1,605"
1/12/2024,"1,625"
1/11/2024,"1,635"
1/10/2024,"1,655"
1/9/2024,"1,645"
1/8/2024,"1,650"
1/5/2024,"1,675"
1/4/2024,"1,685"
1/3/2024,"1,700"
1/2/2024,"1,735"
12/29/2023,"1,705"
12/28/2023,"1,715"
12/27/2023,"1,735"
12/22/2023,"1,665"
12/21/2023,"1,635"
12/20/2023,"1,635"
12/19/2023,"1,640"
12/18/2023,"1,665"
12/15/2023,"1,670"
12/14/2023,"1,640"
12/13/2023,"1,595"
12/12/2023,"1,625"
12/11/2023,"1,655"
12/8/2023,"1,685"
12/7/2023,"1,635"
12/6/2023,"1,700"
12/5/2023,"1,745"
12/4/2023,"1,750"
12/1/2023,"1,705"
11/30/2023,"1,740"
11/29/2023,"1,700"
11/28/2023,"1,655"
11/27/2023,"1,620"
11/24/2023,"1,605"
11/23/2023,"1,600"
11/22/2023,"1,605"
11/21/2023,"1,620"
11/20/2023,"1,610"
11/17/2023,"1,635"
11/16/2023,"1,650"
11/15/2023,"1,640"
11/14/2023,"1,620"
11/13/2023,"1,620"
11/10/2023,"1,625"
11/9/2023,"1,655"
11/8/2023,"1,660"
11/7/2023,"1,690"
11/6/2023,"1,700"
11/3/2023,"1,655"
11/2/2023,"1,650"
11/1/2023,"1,650"
10/31/2023,"1,705"
10/30/2023,"1,725"
10/27/2023,"1,725"
10/26/2023,"1,730"
10/25/2023,"1,730"
10/24/2023,"1,765"
10/23/2023,"1,750"
10/20/2023,"1,825"
10/19/2023,"1,815"
10/18/2023,"1,850"
10/17/2023,"1,810"
10/16/2023,"1,805"
10/13/2023,"1,755"
10/12/2023,"1,775"
10/11/2023,"1,815"
10/10/2023,"1,815"
10/9/2023,"1,810"
10/6/2023,"1,715"
10/5/2023,"1,705"
10/4/2023,"1,740"
10/3/2023,"1,765"
10/2/2023,"1,805"
9/29/2023,"1,815"
9/27/2023,"1,820"
9/26/2023,"1,840"
9/25/2023,"1,850"
9/22/2023,"1,850"
9/21/2023,"1,835"
9/20/2023,"1,860"
9/19/2023,"1,840"
9/18/2023,"1,845"
9/15/2023,"1,900"
9/14/2023,"1,900"
9/13/2023,"1,915"
9/12/2023,"1,945"
9/11/2023,"1,955"
9/8/2023,"1,945"
9/7/2023,"1,955"
9/6/2023,"1,945"
9/5/2023,"1,950"
9/4/2023,"1,950"
9/1/2023,"1,955"
8/31/2023,"1,990"
8/30/2023,"1,995"
8/29/2023,"1,995"
8/28/2023,"1,995"
8/25/2023,"1,990"
8/24/2023,"1,995"
8/23/2023,"1,955"
8/22/2023,"1,945"
8/21/2023,"1,950"
8/18/2023,"1,950"
8/16/2023,"1,960"
8/15/2023,"1,990"
8/14/2023,"2,000"
8/11/2023,"1,990"
8/10/2023,"1,990"
8/9/2023,"2,010"
8/8/2023,"2,010"
8/7/2023,"2,040"
8/4/2023,"2,020"
8/3/2023,"2,010"
8/2/2023,"2,010"
8/1/2023,"2,040"
7/31/2023,"1,985"
7/28/2023,"1,960"
7/27/2023,"1,970"
7/26/2023,"1,985"
7/25/2023,"1,975"
7/24/2023,"1,975"
7/21/2023,"1,975"
7/20/2023,"1,990"
7/18/2023,"1,990"
7/17/2023,"1,990"
7/14/2023,"2,000"
7/13/2023,"1,990"
7/12/2023,"1,990"
7/11/2023,"2,000"
7/10/2023,"1,980"
7/7/2023,"1,975"
7/6/2023,"2,020"
7/5/2023,"1,985"
7/4/2023,"1,970"
7/3/2023,"1,965"
6/27/2023,"1,950"
6/26/2023,"1,950"
6/23/2023,"2,010"
6/22/2023,"2,010"
6/21/2023,"2,010"
6/20/2023,"2,020"
6/19/2023,"2,030"
6/16/2023,"2,060"
6/15/2023,"2,040"
6/14/2023,"2,030"
6/13/2023,"2,010"
6/12/2023,"1,995"
6/9/2023,"1,975"
6/8/2023,"1,985"
6/7/2023,"2,020"
6/6/2023,"2,010"
6/5/2023,"1,975"
5/31/2023,"1,895"
5/30/2023,"1,940"
5/29/2023,"1,935"
5/26/2023,"1,920"
5/25/2023,"1,945"
5/24/2023,"1,950"
5/23/2023,"1,945"
5/22/2023,"1,940"
5/19/2023,"1,955"
5/17/2023,"1,935"
5/16/2023,"1,970"
5/15/2023,"1,990"
5/12/2023,"2,000"
5/11/2023,"2,040"
5/10/2023,"2,100"
5/9/2023,"2,110"
5/8/2023,"2,070"
5/5/2023,"2,040"
5/4/2023,"2,130"
5/3/2023,"2,120"
5/2/2023,"2,060"
4/28/2023,"2,100"
4/27/2023,"2,080"
4/26/2023,"2,110"
4/18/2023,"2,100"
4/17/2023,"2,120"
4/14/2023,"2,110"
4/13/2023,"2,130"
4/12/2023,"2,110"
4/11/2023,"2,110"
4/10/2023,"2,020"
4/6/2023,"2,100"
4/5/2023,"2,100"
4/4/2023,"2,050"
4/3/2023,"2,090"
3/31/2023,"2,090"
3/30/2023,"2,090"
3/29/2023,"2,080"
3/28/2023,"1,995"
3/27/2023,"1,960"
3/24/2023,"1,895"
3/21/2023,"1,885"
3/20/2023,"1,900"
3/17/2023,"1,895"
3/16/2023,"1,795"
3/15/2023,"1,855"
3/14/2023,"1,815"
3/13/2023,"1,850"
3/10/2023,"1,880"
3/9/2023,"1,875"
3/8/2023,"1,885"
3/7/2023,"1,940"
3/6/2023,"1,960"
3/3/2023,"1,995"
3/2/2023,"2,010"
3/1/2023,"2,000"
2/28/2023,"1,990"
2/27/2023,"2,010"
2/24/2023,"2,000"
2/23/2023,"2,030"
2/22/2023,"2,050"
2/21/2023,"2,080"
2/20/2023,"2,080"
2/17/2023,"2,090"
2/16/2023,"2,110"
2/15/2023,"2,200"
2/14/2023,"2,210"
2/13/2023,"2,240"
2/10/2023,"2,220"
2/9/2023,"2,220"
2/8/2023,"2,240"
2/7/2023,"2,250"
2/6/2023,"2,270"
2/3/2023,"2,330"
2/2/2023,"2,350"
2/1/2023,"2,370"
