Date,Price
12/30/2024,87
12/27/2024,90
12/24/2024,88
12/23/2024,88
12/20/2024,88
12/19/2024,87
12/18/2024,90
12/17/2024,89
12/16/2024,88
12/13/2024,93
12/12/2024,92
12/11/2024,91
12/10/2024,91
12/9/2024,91
12/6/2024,88
12/5/2024,90
12/4/2024,91
12/3/2024,87
12/2/2024,84
11/29/2024,78
11/28/2024,74
11/26/2024,66
11/25/2024,71
11/22/2024,72
11/21/2024,72
11/20/2024,75
11/19/2024,71
11/18/2024,70
11/15/2024,71
11/14/2024,71
11/13/2024,73
11/12/2024,77
11/11/2024,70
11/8/2024,70
11/7/2024,69
11/6/2024,72
11/5/2024,74
11/4/2024,70
11/1/2024,72
10/31/2024,76
10/30/2024,78
10/29/2024,79
10/28/2024,84
10/25/2024,80
10/24/2024,83
10/23/2024,90
10/22/2024,71
10/21/2024,69
10/18/2024,67
10/17/2024,68
10/16/2024,67
10/15/2024,68
10/14/2024,66
10/11/2024,64
10/10/2024,65
10/9/2024,66
10/8/2024,65
10/7/2024,65
10/4/2024,66
10/3/2024,65
10/2/2024,64
10/1/2024,70
8/30/2024,62
8/29/2024,62
8/28/2024,63
8/27/2024,67
8/26/2024,69
8/23/2024,71
8/22/2024,68
8/21/2024,71
8/20/2024,72
8/19/2024,74
8/16/2024,75
8/15/2024,75
8/14/2024,78
8/13/2024,76
8/12/2024,71
8/9/2024,70
8/8/2024,62
8/7/2024,61
8/6/2024,60
8/5/2024,59
8/2/2024,60
8/1/2024,61
7/31/2024,61
7/30/2024,59
7/29/2024,63
7/26/2024,60
7/25/2024,61
7/24/2024,61
7/23/2024,64
7/22/2024,64
7/19/2024,63
7/18/2024,63
7/17/2024,63
7/16/2024,64
7/15/2024,63
7/12/2024,61
7/11/2024,60
7/10/2024,59
7/9/2024,60
7/8/2024,60
7/5/2024,62
7/4/2024,60
7/3/2024,61
7/2/2024,61
7/1/2024,62
6/28/2024,64
6/27/2024,65
6/26/2024,66
6/25/2024,67
6/24/2024,67
6/21/2024,65
6/20/2024,66
6/19/2024,67
6/14/2024,65
6/13/2024,65
6/12/2024,64
6/11/2024,66
6/10/2024,64
6/7/2024,66
6/6/2024,66
6/5/2024,68
6/4/2024,68
6/3/2024,69
5/31/2024,62
5/30/2024,79
5/29/2024,78
5/28/2024,79
5/27/2024,79
5/22/2024,79
5/21/2024,61
5/20/2024,81
5/17/2024,79
5/16/2024,80
5/15/2024,80
5/14/2024,82
5/13/2024,82
5/8/2024,83
5/7/2024,87
5/6/2024,84
