Date,Price
12/30/2024,31
12/27/2024,29
12/24/2024,27
12/23/2024,29
12/20/2024,27
12/19/2024,29
12/18/2024,32
12/17/2024,35
12/16/2024,38
12/13/2024,42
12/12/2024,39
12/11/2024,36
12/10/2024,33
12/9/2024,30
12/6/2024,28
12/5/2024,26
12/4/2024,24
12/3/2024,22
12/2/2024,20
11/29/2024,19
11/28/2024,18
11/26/2024,17
11/25/2024,16
11/22/2024,15
11/21/2024,14
11/20/2024,14
11/19/2024,13
11/18/2024,13
11/15/2024,13
11/14/2024,13
11/13/2024,13
11/12/2024,13
11/11/2024,13
11/8/2024,12
11/7/2024,12
11/6/2024,12
11/5/2024,12
11/4/2024,13
11/1/2024,12
10/31/2024,12
10/30/2024,12
10/29/2024,13
10/28/2024,13
10/25/2024,13
10/24/2024,13
10/23/2024,12
10/22/2024,12
10/21/2024,13
10/18/2024,13
10/17/2024,14
10/16/2024,14
10/15/2024,13
10/14/2024,12
10/11/2024,12
10/10/2024,12
10/9/2024,12
10/8/2024,12
10/7/2024,13
10/4/2024,13
10/3/2024,14
10/2/2024,14
10/1/2024,15
9/30/2024,14
9/27/2024,13
9/26/2024,14
9/25/2024,14
9/24/2024,14
9/23/2024,15
9/20/2024,16
9/19/2024,16
9/18/2024,17
9/17/2024,16
9/13/2024,17
9/12/2024,16
9/11/2024,15
9/10/2024,14
9/9/2024,15
9/6/2024,16
9/5/2024,15
9/4/2024,14
9/3/2024,15
9/2/2024,16
8/30/2024,17
8/29/2024,18
8/28/2024,17
8/27/2024,16
8/26/2024,15
8/23/2024,14
8/22/2024,13
8/21/2024,12
8/20/2024,11
8/19/2024,10
8/16/2024,9
8/15/2024,10
8/14/2024,10
8/13/2024,10
8/12/2024,9
8/9/2024,10
8/8/2024,9
8/7/2024,10
8/6/2024,10
8/5/2024,9
8/2/2024,9
8/1/2024,9
7/31/2024,10
7/30/2024,10
7/29/2024,10
7/26/2024,10
7/25/2024,10
7/24/2024,11
7/23/2024,11
7/22/2024,10
7/19/2024,10
7/18/2024,10
7/17/2024,10
7/16/2024,9
7/15/2024,9
7/12/2024,9
7/11/2024,9
7/10/2024,9
7/9/2024,9
7/8/2024,9
7/5/2024,10
7/4/2024,10
7/3/2024,11
7/2/2024,11
7/1/2024,10
6/28/2024,10
6/27/2024,11
6/26/2024,12
6/25/2024,13
6/24/2024,14
6/21/2024,15
6/20/2024,16
6/19/2024,17
6/14/2024,18
6/13/2024,20
6/12/2024,22
6/11/2024,24
6/10/2024,26
6/7/2024,28
6/6/2024,31
6/5/2024,34
6/4/2024,37
6/3/2024,41
5/31/2024,45
5/30/2024,50
5/29/2024,50
5/28/2024,50
5/27/2024,50
5/21/2024,50
5/20/2024,50
5/17/2024,50
5/16/2024,50
5/15/2024,50
5/14/2024,50
5/13/2024,50
5/8/2024,50
5/7/2024,50
5/6/2024,50
5/3/2024,50
5/2/2024,50
4/30/2024,50
4/29/2024,50
4/26/2024,50
4/25/2024,50
4/24/2024,50
4/23/2024,50
4/22/2024,50
4/19/2024,50
4/18/2024,50
4/17/2024,50
4/16/2024,50
4/5/2024,50
4/4/2024,50
4/3/2024,50
4/2/2024,50
4/1/2024,50
3/28/2024,50
3/27/2024,50
3/26/2024,50
3/25/2024,50
3/22/2024,50
3/21/2024,50
3/20/2024,50
3/19/2024,50
3/18/2024,50
3/15/2024,50
3/14/2024,50
3/13/2024,50
