Date,Price
12/30/2024,"9,675"
12/27/2024,"9,800"
12/24/2024,"9,750"
12/23/2024,"9,775"
12/20/2024,"9,650"
12/19/2024,"9,675"
12/18/2024,"9,800"
12/17/2024,"9,900"
12/16/2024,"10,100"
12/13/2024,"10,050"
12/12/2024,"10,175"
12/11/2024,"10,425"
12/10/2024,"10,350"
12/9/2024,"10,350"
12/6/2024,"10,075"
12/5/2024,"10,250"
12/4/2024,"10,200"
12/3/2024,"10,200"
12/2/2024,"9,750"
11/29/2024,"10,000"
11/28/2024,"10,000"
11/26/2024,"10,000"
11/25/2024,"10,175"
11/22/2024,"9,850"
11/21/2024,"9,850"
11/20/2024,"10,075"
11/19/2024,"9,925"
11/18/2024,"10,000"
11/15/2024,"10,175"
11/14/2024,"10,100"
11/13/2024,"10,150"
11/12/2024,"10,150"
11/11/2024,"10,050"
11/8/2024,"10,075"
11/7/2024,"10,175"
11/6/2024,"10,450"
11/5/2024,"10,500"
11/4/2024,"10,375"
11/1/2024,"10,425"
10/31/2024,"10,250"
10/30/2024,"10,350"
10/29/2024,"10,500"
10/28/2024,"10,600"
10/25/2024,"10,750"
10/24/2024,"10,700"
10/23/2024,"10,650"
10/22/2024,"10,500"
10/21/2024,"10,675"
10/18/2024,"10,750"
10/17/2024,"10,725"
10/16/2024,"10,475"
10/15/2024,"10,625"
10/14/2024,"10,500"
10/11/2024,"10,375"
10/10/2024,"10,500"
10/9/2024,"10,425"
10/8/2024,"10,400"
10/7/2024,"10,300"
10/4/2024,"10,475"
10/3/2024,"10,450"
10/2/2024,"10,500"
10/1/2024,"10,550"
9/30/2024,"10,325"
9/27/2024,"10,650"
9/26/2024,"10,700"
9/25/2024,"10,850"
9/24/2024,"10,800"
9/23/2024,"10,950"
9/20/2024,"10,775"
9/19/2024,"10,900"
9/18/2024,"10,625"
9/17/2024,"10,500"
9/13/2024,"10,425"
9/12/2024,"10,475"
9/11/2024,"10,425"
9/10/2024,"10,350"
9/9/2024,"10,275"
9/6/2024,"10,300"
9/5/2024,"10,250"
9/4/2024,"10,300"
9/3/2024,"10,175"
9/2/2024,"10,275"
8/30/2024,"10,325"
8/29/2024,"10,225"
8/28/2024,"10,350"
8/27/2024,"10,200"
8/26/2024,"10,325"
8/23/2024,"10,325"
8/22/2024,"10,325"
8/21/2024,"10,425"
8/20/2024,"10,425"
8/19/2024,"10,375"
8/16/2024,"10,325"
8/15/2024,"10,225"
8/14/2024,"10,200"
8/13/2024,"10,300"
8/12/2024,"10,200"
8/9/2024,"10,150"
8/8/2024,"10,225"
8/7/2024,"10,100"
8/6/2024,"10,000"
8/5/2024,"9,875"
8/2/2024,"10,200"
8/1/2024,"10,375"
7/31/2024,"10,275"
7/30/2024,"10,175"
7/29/2024,"10,250"
7/26/2024,"10,325"
7/25/2024,"10,300"
7/24/2024,"10,075"
7/23/2024,"10,175"
7/22/2024,"10,100"
7/19/2024,"10,125"
7/18/2024,"10,100"
7/17/2024,"9,800"
7/16/2024,"9,950"
7/15/2024,"10,050"
7/12/2024,"10,075"
7/11/2024,"10,075"
