Date,Price
12/30/2024,"4,080"
12/27/2024,"4,100"
12/24/2024,"4,200"
12/23/2024,"4,210"
12/20/2024,"4,060"
12/19/2024,"4,090"
12/18/2024,"4,150"
12/17/2024,"4,150"
12/16/2024,"4,250"
12/13/2024,"4,170"
12/12/2024,"4,260"
12/11/2024,"4,380"
12/10/2024,"4,360"
12/9/2024,"4,390"
12/6/2024,"4,310"
12/5/2024,"4,260"
12/4/2024,"4,350"
12/3/2024,"4,240"
12/2/2024,"4,170"
11/29/2024,"4,250"
11/28/2024,"4,330"
11/26/2024,"4,400"
11/25/2024,"4,470"
11/22/2024,"4,400"
11/21/2024,"4,250"
11/20/2024,"4,330"
11/19/2024,"4,360"
11/18/2024,"4,350"
11/15/2024,"4,470"
11/14/2024,"4,500"
11/13/2024,"4,580"
11/12/2024,"4,500"
11/11/2024,"4,460"
11/8/2024,"4,520"
11/7/2024,"4,550"
11/6/2024,"4,600"
11/5/2024,"4,710"
11/4/2024,"4,720"
11/1/2024,"4,700"
10/31/2024,"4,800"
10/30/2024,"4,710"
10/29/2024,"4,700"
10/28/2024,"4,760"
10/25/2024,"4,770"
10/24/2024,"4,820"
10/23/2024,"4,860"
10/22/2024,"4,900"
10/21/2024,"4,990"
10/18/2024,"4,970"
10/17/2024,"4,980"
10/16/2024,"4,950"
10/15/2024,"4,920"
10/14/2024,"4,900"
10/11/2024,"4,900"
10/10/2024,"4,860"
10/9/2024,"4,930"
10/8/2024,"5,000"
10/7/2024,"4,820"
10/4/2024,"4,860"
10/3/2024,"4,920"
10/2/2024,"4,940"
10/1/2024,"5,075"
9/30/2024,"4,950"
9/27/2024,"5,100"
9/26/2024,"5,050"
9/25/2024,"5,325"
9/24/2024,"5,525"
9/23/2024,"5,500"
9/20/2024,"5,375"
9/19/2024,"5,400"
9/18/2024,"5,350"
9/17/2024,"5,300"
9/13/2024,"5,300"
9/12/2024,"5,175"
9/11/2024,"5,175"
9/10/2024,"5,250"
9/9/2024,"5,175"
9/6/2024,"5,225"
9/5/2024,"5,150"
9/4/2024,"5,100"
9/3/2024,"5,175"
9/2/2024,"5,175"
8/30/2024,"5,150"
8/29/2024,"5,125"
8/28/2024,"5,150"
8/27/2024,"5,175"
8/26/2024,"5,300"
8/23/2024,"5,150"
8/22/2024,"5,050"
8/21/2024,"5,100"
8/20/2024,"4,950"
8/19/2024,"4,820"
8/16/2024,"4,830"
8/15/2024,"4,830"
8/14/2024,"4,820"
8/13/2024,"4,720"
8/12/2024,"4,680"
8/9/2024,"4,670"
8/8/2024,"4,660"
8/7/2024,"4,620"
8/6/2024,"4,600"
8/5/2024,"4,530"
8/2/2024,"4,710"
8/1/2024,"4,750"
7/31/2024,"4,670"
7/30/2024,"4,670"
7/29/2024,"4,780"
7/26/2024,"4,760"
7/25/2024,"4,700"
7/24/2024,"4,780"
7/23/2024,"4,790"
7/22/2024,"4,910"
7/19/2024,"4,900"
7/18/2024,"4,890"
7/17/2024,"4,760"
7/16/2024,"4,730"
7/15/2024,"4,820"
7/12/2024,"4,900"
7/11/2024,"4,840"
7/10/2024,"4,850"
7/9/2024,"4,870"
7/8/2024,"4,750"
7/5/2024,"4,800"
7/4/2024,"4,790"
7/3/2024,"4,600"
7/2/2024,"4,570"
7/1/2024,"4,630"
6/28/2024,"4,600"
6/27/2024,"4,460"
6/26/2024,"4,370"
6/25/2024,"4,380"
6/24/2024,"4,400"
6/21/2024,"4,440"
6/20/2024,"4,270"
6/19/2024,"4,100"
6/14/2024,"4,180"
6/13/2024,"4,310"
6/12/2024,"4,350"
6/11/2024,"4,340"
6/10/2024,"4,400"
6/7/2024,"4,350"
6/6/2024,"4,500"
6/5/2024,"4,400"
6/4/2024,"4,450"
6/3/2024,"4,530"
5/31/2024,"4,340"
5/30/2024,"4,380"
5/29/2024,"4,410"
5/28/2024,"4,530"
5/27/2024,"4,550"
5/22/2024,"4,720"
5/21/2024,"4,680"
5/20/2024,"4,820"
5/17/2024,"4,920"
5/16/2024,"4,840"
5/15/2024,"4,820"
5/14/2024,"4,730"
5/13/2024,"4,680"
5/8/2024,"4,680"
5/7/2024,"4,670"
5/6/2024,"4,790"
5/3/2024,"4,750"
5/2/2024,"4,760"
4/30/2024,"4,940"
4/29/2024,"4,770"
4/26/2024,"4,830"
4/25/2024,"5,150"
4/24/2024,"5,225"
4/23/2024,"5,300"
4/22/2024,"5,300"
4/19/2024,"5,275"
4/18/2024,"5,475"
4/17/2024,"5,300"
4/16/2024,"5,350"
4/5/2024,"5,650"
4/4/2024,"5,700"
4/3/2024,"5,625"
4/2/2024,"5,675"
4/1/2024,"5,925"
3/28/2024,"6,050"
3/27/2024,"6,250"
3/26/2024,"6,300"
3/25/2024,"6,250"
3/22/2024,"6,125"
3/21/2024,"6,100"
3/20/2024,"6,100"
3/19/2024,"6,000"
3/18/2024,"6,000"
3/15/2024,"5,975"
3/14/2024,"6,150"
3/13/2024,"6,400"
3/8/2024,"6,350"
3/7/2024,"6,225"
3/6/2024,"6,200"
3/5/2024,"6,125"
3/4/2024,"6,050"
3/1/2024,"6,125"
2/29/2024,"6,125"
2/28/2024,"6,225"
2/27/2024,"6,125"
2/26/2024,"6,175"
2/23/2024,"6,125"
2/22/2024,"6,250"
2/21/2024,"6,300"
2/20/2024,"6,300"
2/19/2024,"6,100"
2/16/2024,"6,150"
2/15/2024,"6,125"
2/13/2024,"6,000"
2/12/2024,"6,025"
2/7/2024,"5,850"
2/6/2024,"5,825"
2/5/2024,"5,775"
2/2/2024,"5,850"
2/1/2024,"5,750"
1/31/2024,"5,700"
1/30/2024,"5,625"
1/29/2024,"5,575"
1/26/2024,"5,425"
1/25/2024,"5,525"
1/24/2024,"5,650"
1/23/2024,"5,700"
1/22/2024,"5,775"
1/19/2024,"5,800"
1/18/2024,"5,750"
1/17/2024,"5,775"
1/16/2024,"5,825"
1/15/2024,"5,825"
1/12/2024,"5,850"
1/11/2024,"5,750"
1/10/2024,"5,700"
1/9/2024,"5,700"
1/8/2024,"5,625"
1/5/2024,"5,750"
1/4/2024,"5,700"
1/3/2024,"5,600"
1/2/2024,"5,675"
12/29/2023,"5,725"
12/28/2023,"5,725"
12/27/2023,"5,625"
12/22/2023,"5,675"
12/21/2023,"5,575"
12/20/2023,"5,550"
12/19/2023,"5,550"
12/18/2023,"5,500"
12/15/2023,"5,550"
12/14/2023,"5,550"
12/13/2023,"5,300"
12/12/2023,"5,325"
12/11/2023,"5,300"
12/8/2023,"5,375"
12/7/2023,"5,475"
12/6/2023,"5,425"
12/5/2023,"5,450"
12/4/2023,"5,500"
12/1/2023,"5,350"
11/30/2023,"5,275"
11/29/2023,"5,300"
11/28/2023,"5,350"
11/27/2023,"5,350"
11/24/2023,"5,400"
11/23/2023,"5,350"
11/22/2023,"5,275"
11/21/2023,"5,200"
11/20/2023,"5,250"
11/17/2023,"5,225"
11/16/2023,"5,250"
11/15/2023,"5,250"
11/14/2023,"5,075"
11/13/2023,"5,025"
11/10/2023,"5,075"
11/9/2023,"5,200"
11/8/2023,"5,225"
11/7/2023,"5,250"
11/6/2023,"5,200"
11/3/2023,"5,100"
11/2/2023,"5,000"
11/1/2023,"4,830"
10/31/2023,"4,960"
10/30/2023,"5,000"
10/27/2023,"5,000"
10/26/2023,"4,920"
10/25/2023,"5,175"
10/24/2023,"5,100"
10/23/2023,"5,000"
10/20/2023,"5,050"
10/19/2023,"5,000"
10/18/2023,"5,150"
10/17/2023,"5,150"
10/16/2023,"5,250"
10/13/2023,"5,275"
10/12/2023,"5,300"
10/11/2023,"5,250"
10/10/2023,"5,175"
10/9/2023,"5,125"
10/6/2023,"5,175"
10/5/2023,"5,175"
10/4/2023,"5,250"
10/3/2023,"5,275"
10/2/2023,"5,250"
9/29/2023,"5,225"
