Date,Price
12/30/2024,125
12/27/2024,123
12/24/2024,120
12/23/2024,121
12/20/2024,120
12/19/2024,122
12/18/2024,124
12/17/2024,125
12/16/2024,124
12/13/2024,128
12/12/2024,128
12/11/2024,130
12/10/2024,130
12/9/2024,129
12/6/2024,123
12/5/2024,121
12/4/2024,123
12/3/2024,125
12/2/2024,122
11/29/2024,122
11/28/2024,123
11/26/2024,122
11/25/2024,122
11/22/2024,120
11/21/2024,119
11/20/2024,122
11/19/2024,121
11/18/2024,119
11/15/2024,119
11/14/2024,124
11/13/2024,119
11/12/2024,118
11/11/2024,120
11/8/2024,118
11/7/2024,118
11/6/2024,118
11/5/2024,117
11/4/2024,120
11/1/2024,125
10/31/2024,128
10/30/2024,130
10/29/2024,131
10/28/2024,131
10/25/2024,135
10/24/2024,140
10/23/2024,133
10/22/2024,134
10/21/2024,135
10/18/2024,132
10/17/2024,133
10/16/2024,135
10/15/2024,133
10/14/2024,131
10/11/2024,136
10/10/2024,129
10/9/2024,139
10/8/2024,147
10/7/2024,144
10/4/2024,115
10/3/2024,116
10/2/2024,120
10/1/2024,120
9/30/2024,121
9/27/2024,122
9/26/2024,121
9/25/2024,121
9/24/2024,115
9/23/2024,116
9/20/2024,116
9/19/2024,115
9/18/2024,115
9/17/2024,117
9/13/2024,118
9/12/2024,117
9/11/2024,114
9/10/2024,114
9/9/2024,114
9/6/2024,115
9/5/2024,115
9/4/2024,115
9/3/2024,118
9/2/2024,119
8/30/2024,117
8/29/2024,117
8/28/2024,118
8/27/2024,118
8/26/2024,117
8/23/2024,117
8/22/2024,118
8/21/2024,122
8/20/2024,123
8/19/2024,119
8/16/2024,120
8/15/2024,120
8/14/2024,123
8/13/2024,125
8/12/2024,126
8/9/2024,119
8/8/2024,119
8/7/2024,116
8/6/2024,111
8/5/2024,109
8/2/2024,118
8/1/2024,118
7/31/2024,118
7/30/2024,115
7/29/2024,118
7/26/2024,118
7/25/2024,121
7/24/2024,120
7/23/2024,127
7/22/2024,127
7/19/2024,126
7/18/2024,129
7/17/2024,130
7/16/2024,130
7/15/2024,131
7/12/2024,133
7/11/2024,136
7/10/2024,133
7/9/2024,140
7/8/2024,141
7/5/2024,137
7/4/2024,135
7/3/2024,130
7/2/2024,134
7/1/2024,135
6/28/2024,139
6/27/2024,134
6/26/2024,126
6/25/2024,132
6/24/2024,135
6/21/2024,129
6/20/2024,124
6/19/2024,119
6/14/2024,118
6/13/2024,124
6/12/2024,120
6/11/2024,124
6/10/2024,124
6/7/2024,132
6/6/2024,136
6/5/2024,133
6/4/2024,136
6/3/2024,134
5/31/2024,130
5/30/2024,129
5/29/2024,130
5/28/2024,135
5/27/2024,140
5/22/2024,130
5/21/2024,128
5/20/2024,130
5/17/2024,128
5/16/2024,127
5/15/2024,124
5/14/2024,122
5/13/2024,124
5/8/2024,120
5/7/2024,125
5/6/2024,120
5/3/2024,123
5/2/2024,124
4/30/2024,130
4/29/2024,121
4/26/2024,120
4/25/2024,126
4/24/2024,124
4/23/2024,117
4/22/2024,117
4/19/2024,116
4/18/2024,124
4/17/2024,127
4/16/2024,134
4/5/2024,146
4/4/2024,149
4/3/2024,147
4/2/2024,147
4/1/2024,149
3/28/2024,152
3/27/2024,155
3/26/2024,148
3/25/2024,144
3/22/2024,150
3/21/2024,143
3/20/2024,136
3/19/2024,142
3/18/2024,144
3/15/2024,147
3/14/2024,150
3/13/2024,151
3/8/2024,154
3/7/2024,155
3/6/2024,164
3/5/2024,152
3/4/2024,153
3/1/2024,156
2/29/2024,157
2/28/2024,161
2/27/2024,161
2/26/2024,162
2/23/2024,161
2/22/2024,154
2/21/2024,162
2/20/2024,166
2/19/2024,169
2/16/2024,168
2/15/2024,174
2/13/2024,174
2/12/2024,176
2/7/2024,177
2/6/2024,179
2/5/2024,180
2/2/2024,185
2/1/2024,189
1/31/2024,192
1/30/2024,187
1/29/2024,186
1/26/2024,186
1/25/2024,188
1/24/2024,189
1/23/2024,192
1/22/2024,190
1/19/2024,195
1/18/2024,196
1/17/2024,198
1/16/2024,199
1/15/2024,200
1/12/2024,200
1/11/2024,199
1/10/2024,199
1/9/2024,202
1/8/2024,202
1/5/2024,204
1/4/2024,206
1/3/2024,208
1/2/2024,208
12/29/2023,216
12/28/2023,212
12/27/2023,212
12/22/2023,208
12/21/2023,210
12/20/2023,212
12/19/2023,212
12/18/2023,208
12/15/2023,206
12/14/2023,204
12/13/2023,196
12/12/2023,200
12/11/2023,195
12/8/2023,202
12/7/2023,200
12/6/2023,204
12/5/2023,206
12/4/2023,208
12/1/2023,214
11/30/2023,208
11/29/2023,204
11/28/2023,204
11/27/2023,204
11/24/2023,210
11/23/2023,214
11/22/2023,212
11/21/2023,214
11/20/2023,208
11/17/2023,204
11/16/2023,212
11/15/2023,214
11/14/2023,210
11/13/2023,210
11/10/2023,210
11/9/2023,210
11/8/2023,208
11/7/2023,208
11/6/2023,210
11/3/2023,210
11/2/2023,202
11/1/2023,198
10/31/2023,210
10/30/2023,198
10/27/2023,196
10/26/2023,202
10/25/2023,204
10/24/2023,206
10/23/2023,208
10/20/2023,206
10/19/2023,208
10/18/2023,210
10/17/2023,206
10/16/2023,204
10/13/2023,206
10/12/2023,214
10/11/2023,212
10/10/2023,212
10/9/2023,212
10/6/2023,212
10/5/2023,208
10/4/2023,206
10/3/2023,210
10/2/2023,210
9/29/2023,218
9/27/2023,208
9/26/2023,208
9/25/2023,214
9/22/2023,228
9/21/2023,224
9/20/2023,228
9/19/2023,228
9/18/2023,228
9/15/2023,244
9/14/2023,250
9/13/2023,246
9/12/2023,262
9/11/2023,260
9/8/2023,246
9/7/2023,244
9/6/2023,236
9/5/2023,232
9/4/2023,236
9/1/2023,234
8/31/2023,232
8/30/2023,236
8/29/2023,238
8/28/2023,234
8/25/2023,232
8/24/2023,230
8/23/2023,238
8/22/2023,232
8/21/2023,240
8/18/2023,232
8/16/2023,232
8/15/2023,234
8/14/2023,238
8/11/2023,228
8/10/2023,228
8/9/2023,224
8/8/2023,228
8/7/2023,224
8/4/2023,222
8/3/2023,228
8/2/2023,218
8/1/2023,220
7/31/2023,216
7/28/2023,224
7/27/2023,224
7/26/2023,222
7/25/2023,224
7/24/2023,228
7/21/2023,224
7/20/2023,234
7/18/2023,238
7/17/2023,240
7/14/2023,244
7/13/2023,224
7/12/2023,230
7/11/2023,220
7/10/2023,214
7/7/2023,216
7/6/2023,212
