Date,Price
12/30/2024,346
12/27/2024,332
12/24/2024,346
12/23/2024,348
12/20/2024,352
12/19/2024,352
12/18/2024,376
12/17/2024,380
12/16/2024,398
12/13/2024,416
12/12/2024,438
12/11/2024,432
12/10/2024,444
12/9/2024,418
12/6/2024,408
12/5/2024,412
12/4/2024,416
12/3/2024,398
12/2/2024,398
11/29/2024,414
11/28/2024,396
11/26/2024,410
11/25/2024,422
11/22/2024,442
11/21/2024,446
11/20/2024,434
11/19/2024,436
11/18/2024,450
11/15/2024,400
11/14/2024,416
11/13/2024,440
11/12/2024,470
11/11/2024,494
11/8/2024,450
11/7/2024,398
11/6/2024,440
11/5/2024,412
11/4/2024,382
11/1/2024,378
10/31/2024,368
10/30/2024,386
10/29/2024,376
10/28/2024,374
10/25/2024,350
10/24/2024,362
10/23/2024,382
10/22/2024,378
10/21/2024,344
10/18/2024,338
10/17/2024,336
10/16/2024,286
10/15/2024,288
10/14/2024,274
10/11/2024,274
10/10/2024,262
10/9/2024,272
10/8/2024,276
10/7/2024,284
10/4/2024,268
10/3/2024,244
10/2/2024,268
10/1/2024,250
9/30/2024,230
9/27/2024,200
9/26/2024,202
9/25/2024,198
9/24/2024,194
9/23/2024,196
9/20/2024,175
9/19/2024,170
9/18/2024,163
9/17/2024,166
9/13/2024,160
9/12/2024,158
9/11/2024,156
9/10/2024,159
9/9/2024,159
9/6/2024,163
9/5/2024,164
9/4/2024,168
9/3/2024,169
9/2/2024,160
8/30/2024,162
8/29/2024,160
8/28/2024,163
8/27/2024,162
8/26/2024,161
8/23/2024,159
8/22/2024,156
8/21/2024,161
8/20/2024,159
8/19/2024,157
8/16/2024,155
8/15/2024,150
8/14/2024,150
8/13/2024,151
8/12/2024,151
8/9/2024,149
8/8/2024,149
8/7/2024,148
8/6/2024,148
8/5/2024,150
8/2/2024,157
8/1/2024,156
7/31/2024,157
7/30/2024,156
7/29/2024,156
7/26/2024,153
7/25/2024,152
7/24/2024,155
7/23/2024,155
7/22/2024,157
7/19/2024,158
7/18/2024,162
7/17/2024,162
7/16/2024,162
7/15/2024,157
7/12/2024,156
7/11/2024,155
7/10/2024,152
7/9/2024,154
7/8/2024,157
7/5/2024,151
7/4/2024,154
7/3/2024,151
7/2/2024,146
7/1/2024,147
6/28/2024,146
6/27/2024,144
6/26/2024,143
6/25/2024,142
6/24/2024,142
6/21/2024,142
6/20/2024,141
6/19/2024,136
6/14/2024,135
6/13/2024,134
6/12/2024,137
6/11/2024,142
6/10/2024,144
6/7/2024,144
6/6/2024,146
6/5/2024,145
6/4/2024,152
6/3/2024,152
5/31/2024,155
5/30/2024,153
5/29/2024,156
5/28/2024,149
5/27/2024,145
5/22/2024,150
5/21/2024,150
5/20/2024,154
5/17/2024,146
5/16/2024,146
5/15/2024,146
5/14/2024,144
5/13/2024,146
5/8/2024,144
5/7/2024,151
5/6/2024,149
5/3/2024,150
5/2/2024,151
4/30/2024,153
4/29/2024,152
4/26/2024,151
4/25/2024,153
4/24/2024,156
4/23/2024,155
4/22/2024,154
4/19/2024,159
4/18/2024,159
4/17/2024,165
4/16/2024,170
4/5/2024,160
4/4/2024,162
4/3/2024,155
4/2/2024,153
4/1/2024,152
3/28/2024,150
3/27/2024,151
3/26/2024,152
3/25/2024,152
3/22/2024,153
3/21/2024,155
3/20/2024,152
3/19/2024,153
3/18/2024,152
3/15/2024,153
3/14/2024,162
3/13/2024,159
3/8/2024,163
3/7/2024,162
3/6/2024,154
3/5/2024,152
3/4/2024,145
3/1/2024,140
2/29/2024,144
2/28/2024,143
2/27/2024,143
2/26/2024,145
2/23/2024,144
2/22/2024,145
2/21/2024,144
2/20/2024,148
2/19/2024,148
2/16/2024,150
2/15/2024,147
2/13/2024,149
2/12/2024,148
2/7/2024,144
2/6/2024,144
2/5/2024,140
2/2/2024,146
2/1/2024,152
1/31/2024,155
1/30/2024,154
1/29/2024,148
1/26/2024,146
1/25/2024,154
1/24/2024,154
1/23/2024,161
1/22/2024,164
1/19/2024,166
1/18/2024,168
1/17/2024,167
1/16/2024,171
1/15/2024,173
1/12/2024,173
1/11/2024,172
1/10/2024,174
1/9/2024,173
1/8/2024,172
1/5/2024,176
1/4/2024,177
1/3/2024,177
1/2/2024,175
12/29/2023,170
12/28/2023,173
12/27/2023,171
12/22/2023,168
12/21/2023,172
12/20/2023,174
12/19/2023,170
12/18/2023,173
