Date,Price
12/30/2024,118
12/27/2024,116
12/24/2024,116
12/23/2024,116
12/20/2024,115
12/19/2024,122
12/18/2024,132
12/17/2024,135
12/16/2024,139
12/13/2024,143
12/12/2024,145
12/11/2024,145
12/10/2024,148
12/9/2024,142
12/6/2024,138
12/5/2024,139
12/4/2024,139
12/3/2024,137
12/2/2024,138
11/29/2024,147
11/28/2024,135
11/26/2024,141
11/25/2024,146
11/22/2024,143
11/21/2024,143
11/20/2024,147
11/19/2024,150
11/18/2024,153
11/15/2024,149
11/14/2024,161
11/13/2024,164
11/12/2024,174
11/11/2024,149
11/8/2024,127
11/7/2024,130
11/6/2024,135
11/5/2024,138
11/4/2024,135
11/1/2024,135
10/31/2024,139
10/30/2024,140
10/29/2024,139
10/28/2024,139
10/25/2024,141
10/24/2024,146
10/23/2024,147
10/22/2024,141
10/21/2024,138
10/18/2024,139
10/17/2024,146
10/16/2024,137
10/15/2024,140
10/14/2024,140
10/11/2024,134
10/10/2024,131
10/9/2024,128
10/8/2024,134
10/7/2024,139
10/4/2024,135
10/3/2024,133
10/2/2024,138
10/1/2024,143
9/30/2024,122
9/27/2024,122
9/26/2024,123
9/25/2024,121
9/24/2024,122
9/23/2024,124
9/20/2024,116
9/19/2024,117
9/18/2024,105
9/17/2024,105
9/13/2024,99
9/12/2024,97
9/11/2024,94
9/10/2024,97
9/9/2024,97
9/6/2024,98
9/5/2024,99
9/4/2024,99
9/3/2024,98
9/2/2024,93
8/30/2024,89
8/29/2024,89
8/28/2024,93
8/27/2024,92
8/26/2024,94
8/23/2024,94
8/22/2024,91
8/21/2024,94
8/20/2024,88
8/19/2024,87
8/16/2024,88
8/15/2024,80
8/14/2024,76
8/13/2024,76
8/12/2024,76
8/9/2024,75
8/8/2024,74
8/7/2024,75
8/6/2024,73
8/5/2024,72
8/2/2024,76
8/1/2024,75
7/31/2024,75
7/30/2024,76
7/29/2024,77
7/26/2024,78
7/25/2024,75
7/24/2024,76
7/23/2024,78
7/22/2024,79
7/19/2024,78
7/18/2024,80
7/17/2024,79
7/16/2024,79
7/15/2024,79
7/12/2024,79
7/11/2024,79
7/10/2024,81
7/9/2024,83
7/8/2024,85
7/5/2024,84
7/4/2024,83
7/3/2024,83
7/2/2024,81
7/1/2024,78
6/28/2024,78
6/27/2024,77
6/26/2024,78
6/25/2024,77
6/24/2024,79
6/21/2024,76
6/20/2024,73
6/19/2024,69
6/14/2024,74
6/13/2024,76
6/12/2024,76
6/11/2024,78
6/10/2024,77
6/7/2024,81
6/6/2024,80
6/5/2024,80
6/4/2024,83
6/3/2024,89
5/31/2024,91
5/30/2024,88
5/29/2024,90
5/28/2024,90
5/27/2024,92
5/22/2024,93
