Date,Price
12/30/2024,58
12/27/2024,58
12/24/2024,58
12/23/2024,54
12/20/2024,55
12/19/2024,55
12/18/2024,54
12/17/2024,55
12/16/2024,55
12/13/2024,55
12/12/2024,55
12/11/2024,55
12/10/2024,56
12/9/2024,55
12/6/2024,56
12/5/2024,56
12/4/2024,55
12/3/2024,56
12/2/2024,55
11/29/2024,55
11/28/2024,55
11/26/2024,55
11/25/2024,55
11/22/2024,55
11/21/2024,55
11/20/2024,56
11/19/2024,56
11/18/2024,55
11/15/2024,55
11/14/2024,56
11/13/2024,58
11/12/2024,56
11/11/2024,55
11/8/2024,56
11/7/2024,55
11/6/2024,56
11/5/2024,56
11/4/2024,56
11/1/2024,56
10/31/2024,56
10/30/2024,57
10/29/2024,58
10/28/2024,58
10/25/2024,59
10/24/2024,62
10/23/2024,61
10/22/2024,59
10/21/2024,59
10/18/2024,57
10/17/2024,56
10/16/2024,57
10/15/2024,57
10/14/2024,56
10/11/2024,56
10/10/2024,56
10/9/2024,56
10/8/2024,56
10/7/2024,56
10/4/2024,57
10/3/2024,56
10/2/2024,56
10/1/2024,56
9/30/2024,56
9/27/2024,56
9/26/2024,56
9/25/2024,56
9/24/2024,56
9/23/2024,56
9/20/2024,56
9/19/2024,55
9/18/2024,57
9/17/2024,57
9/13/2024,57
9/12/2024,57
9/11/2024,57
9/10/2024,59
9/9/2024,59
9/6/2024,59
9/5/2024,60
9/4/2024,60
9/3/2024,59
9/2/2024,59
8/30/2024,60
8/29/2024,60
8/28/2024,59
8/27/2024,59
8/26/2024,59
8/23/2024,61
8/22/2024,62
8/21/2024,62
8/20/2024,60
8/19/2024,60
8/16/2024,61
8/15/2024,61
8/14/2024,62
8/13/2024,62
8/12/2024,62
8/9/2024,57
8/8/2024,56
8/7/2024,53
8/6/2024,53
8/5/2024,51
8/2/2024,51
8/1/2024,52
7/31/2024,52
7/30/2024,51
7/29/2024,51
7/26/2024,52
7/25/2024,52
7/24/2024,53
7/23/2024,52
7/22/2024,52
7/19/2024,52
7/18/2024,52
7/17/2024,52
7/16/2024,52
