Date,Price
12/30/2024,70
12/27/2024,63
12/24/2024,68
12/23/2024,71
12/20/2024,69
12/19/2024,68
12/18/2024,70
12/17/2024,70
12/16/2024,72
12/13/2024,76
12/12/2024,77
12/11/2024,78
12/10/2024,80
12/9/2024,78
12/6/2024,77
12/5/2024,75
12/4/2024,75
12/3/2024,75
12/2/2024,70
11/29/2024,71
11/28/2024,72
11/26/2024,74
11/25/2024,76
11/22/2024,78
11/21/2024,72
11/20/2024,72
11/19/2024,74
11/18/2024,68
11/15/2024,64
11/14/2024,65
11/13/2024,67
11/12/2024,68
11/11/2024,65
11/8/2024,63
11/7/2024,61
11/6/2024,64
11/5/2024,66
11/4/2024,65
11/1/2024,68
10/31/2024,68
10/30/2024,71
10/29/2024,70
10/28/2024,68
10/25/2024,70
10/24/2024,72
10/23/2024,74
10/22/2024,72
10/21/2024,68
10/18/2024,68
10/17/2024,68
10/16/2024,68
10/15/2024,66
10/14/2024,65
10/11/2024,60
10/10/2024,60
10/9/2024,60
10/8/2024,60
10/7/2024,60
10/4/2024,60
10/3/2024,64
10/2/2024,65
10/1/2024,67
9/30/2024,66
9/27/2024,70
9/26/2024,70
9/25/2024,66
9/24/2024,63
9/23/2024,65
9/20/2024,63
9/19/2024,63
9/18/2024,61
9/17/2024,65
9/13/2024,61
9/12/2024,60
9/11/2024,56
9/10/2024,56
9/9/2024,53
9/6/2024,53
9/5/2024,52
9/4/2024,52
9/3/2024,52
9/2/2024,53
8/30/2024,52
8/29/2024,51
8/28/2024,51
8/27/2024,52
8/26/2024,52
8/23/2024,53
8/22/2024,52
8/21/2024,53
8/20/2024,53
8/19/2024,54
8/16/2024,54
8/15/2024,54
8/14/2024,53
8/13/2024,52
8/12/2024,51
8/9/2024,51
8/8/2024,50
8/7/2024,50
8/6/2024,50
8/5/2024,51
8/2/2024,53
8/1/2024,53
7/31/2024,53
7/30/2024,55
7/29/2024,54
7/26/2024,53
7/25/2024,54
7/24/2024,54
7/23/2024,55
7/22/2024,51
7/19/2024,50
7/18/2024,51
7/17/2024,51
7/16/2024,50
7/15/2024,50
7/12/2024,50
7/11/2024,50
7/10/2024,50
7/9/2024,50
7/8/2024,50
7/5/2024,50
7/4/2024,50
7/3/2024,50
7/2/2024,50
7/1/2024,50
6/28/2024,50
6/27/2024,50
6/26/2024,50
6/25/2024,50
6/24/2024,51
6/21/2024,50
6/20/2024,50
6/19/2024,50
6/14/2024,52
6/13/2024,52
6/12/2024,52
6/11/2024,53
6/10/2024,56
6/7/2024,58
6/6/2024,60
6/5/2024,59
6/4/2024,61
6/3/2024,64
5/31/2024,65
5/30/2024,67
5/29/2024,71
5/28/2024,74
5/27/2024,70
5/22/2024,66
5/21/2024,64
5/20/2024,65
5/17/2024,66
5/16/2024,66
5/15/2024,66
5/14/2024,65
5/13/2024,67
5/8/2024,67
5/7/2024,65
5/6/2024,69
5/3/2024,66
5/2/2024,63
4/30/2024,63
4/29/2024,63
4/26/2024,61
4/25/2024,62
4/24/2024,64
4/23/2024,61
4/22/2024,59
4/19/2024,59
4/18/2024,62
4/17/2024,62
4/16/2024,65
4/5/2024,68
4/4/2024,69
4/3/2024,68
4/2/2024,70
4/1/2024,68
3/28/2024,69
3/27/2024,66
3/26/2024,70
3/25/2024,69
3/22/2024,68
3/21/2024,67
3/20/2024,65
3/19/2024,72
3/18/2024,73
3/15/2024,71
3/14/2024,70
3/13/2024,67
3/8/2024,70
3/7/2024,70
3/6/2024,74
3/5/2024,63
3/4/2024,64
3/1/2024,69
2/29/2024,71
2/28/2024,75
2/27/2024,80
2/26/2024,78
2/23/2024,79
2/22/2024,79
2/21/2024,80
2/20/2024,83
2/19/2024,84
2/16/2024,83
2/15/2024,85
2/13/2024,86
2/12/2024,86
2/7/2024,84
2/6/2024,84
2/5/2024,84
2/2/2024,90
2/1/2024,90
1/31/2024,88
1/30/2024,87
1/29/2024,78
1/26/2024,82
1/25/2024,84
1/24/2024,84
1/23/2024,85
1/22/2024,87
1/19/2024,86
1/18/2024,87
1/17/2024,87
1/16/2024,90
1/15/2024,92
1/12/2024,91
1/11/2024,91
1/10/2024,87
1/9/2024,88
1/8/2024,86
1/5/2024,86
1/4/2024,87
1/3/2024,88
1/2/2024,87
12/29/2023,86
12/28/2023,85
12/27/2023,85
12/22/2023,86
12/21/2023,88
12/20/2023,88
12/19/2023,87
12/18/2023,86
12/15/2023,93
12/14/2023,94
12/13/2023,89
12/12/2023,94
12/11/2023,86
12/8/2023,108
12/7/2023,95
12/6/2023,92
12/5/2023,101
12/4/2023,100
12/1/2023,109
11/30/2023,97
11/29/2023,94
11/28/2023,91
11/27/2023,95
11/24/2023,94
11/23/2023,94
11/22/2023,84
11/21/2023,88
11/20/2023,89
11/17/2023,84
11/16/2023,86
11/15/2023,86
11/14/2023,81
11/13/2023,79
11/10/2023,76
11/9/2023,75
11/8/2023,76
11/7/2023,77
11/6/2023,76
11/3/2023,70
11/2/2023,71
11/1/2023,62
10/31/2023,60
10/30/2023,56
10/27/2023,56
10/26/2023,57
10/25/2023,60
10/24/2023,63
10/23/2023,63
10/20/2023,60
10/19/2023,64
10/18/2023,63
10/17/2023,65
10/16/2023,66
10/13/2023,67
10/12/2023,73
10/11/2023,79
10/10/2023,82
10/9/2023,83
10/6/2023,84
10/5/2023,84
10/4/2023,82
10/3/2023,83
10/2/2023,85
9/29/2023,85
9/27/2023,86
9/26/2023,87
9/25/2023,87
9/22/2023,87
9/21/2023,88
9/20/2023,90
9/19/2023,90
9/18/2023,92
9/15/2023,92
9/14/2023,88
9/13/2023,87
9/12/2023,88
9/11/2023,89
9/8/2023,93
9/7/2023,94
9/6/2023,91
9/5/2023,90
9/4/2023,93
9/1/2023,95
8/31/2023,96
8/30/2023,91
8/29/2023,91
8/28/2023,85
8/25/2023,84
8/24/2023,85
8/23/2023,86
8/22/2023,88
8/21/2023,88
8/18/2023,92
8/16/2023,93
8/15/2023,97
8/14/2023,91
8/11/2023,91
8/10/2023,94
8/9/2023,93
8/8/2023,104
8/7/2023,109
8/4/2023,108
8/3/2023,109
8/2/2023,109
8/1/2023,112
7/31/2023,113
7/28/2023,111
7/27/2023,111
7/26/2023,113
7/25/2023,114
7/24/2023,111
7/21/2023,113
7/20/2023,114
7/18/2023,115
7/17/2023,118
7/14/2023,113
7/13/2023,109
7/12/2023,108
7/11/2023,106
7/10/2023,108
7/7/2023,108
7/6/2023,112
7/5/2023,109
7/4/2023,109
7/3/2023,112
6/27/2023,110
6/26/2023,114
6/23/2023,113
6/22/2023,115
6/21/2023,118
6/20/2023,118
6/19/2023,117
6/16/2023,117
6/15/2023,116
6/14/2023,116
6/13/2023,121
6/12/2023,124
6/9/2023,127
6/8/2023,125
6/7/2023,116
6/6/2023,119
6/5/2023,125
5/31/2023,147
5/30/2023,109
5/29/2023,108
5/26/2023,104
5/25/2023,111
5/24/2023,114
5/23/2023,115
5/22/2023,114
5/19/2023,115
5/17/2023,113
5/16/2023,118
5/15/2023,117
5/12/2023,116
5/11/2023,116
5/10/2023,118
5/9/2023,109
5/8/2023,106
5/5/2023,106
5/4/2023,109
5/3/2023,100
5/2/2023,103
4/28/2023,104
4/27/2023,99
4/26/2023,95
4/18/2023,95
4/17/2023,92
4/14/2023,92
4/13/2023,91
4/12/2023,93
4/11/2023,99
4/10/2023,94
4/6/2023,101
4/5/2023,107
4/4/2023,110
4/3/2023,110
3/31/2023,109
3/30/2023,112
3/29/2023,116
3/28/2023,118
3/27/2023,115
3/24/2023,115
3/21/2023,110
3/20/2023,108
3/17/2023,116
3/16/2023,117
3/15/2023,121
3/14/2023,121
3/13/2023,126
3/10/2023,125
3/9/2023,129
3/8/2023,130
3/7/2023,129
3/6/2023,128
3/3/2023,124
3/2/2023,121
3/1/2023,122
2/28/2023,118
2/27/2023,118
2/24/2023,120
2/23/2023,116
2/22/2023,116
2/21/2023,121
2/20/2023,122
2/17/2023,125
2/16/2023,121
2/15/2023,118
2/14/2023,119
2/13/2023,116
2/10/2023,105
2/9/2023,112
2/8/2023,120
2/7/2023,123
2/6/2023,120
2/3/2023,124
2/2/2023,124
2/1/2023,113
1/31/2023,112
1/30/2023,113
1/27/2023,117
1/26/2023,115
