Date,Price
12/30/2024,50
12/27/2024,50
12/24/2024,50
12/23/2024,50
12/20/2024,50
12/19/2024,50
12/18/2024,50
12/17/2024,50
12/16/2024,51
12/13/2024,51
12/12/2024,52
12/11/2024,51
12/10/2024,51
12/9/2024,51
12/6/2024,52
12/5/2024,52
12/4/2024,52
12/3/2024,50
12/2/2024,56
11/29/2024,57
11/28/2024,56
11/26/2024,56
11/25/2024,56
11/22/2024,57
11/21/2024,56
11/20/2024,56
11/19/2024,56
11/18/2024,56
11/15/2024,57
11/14/2024,57
11/13/2024,56
11/12/2024,57
11/11/2024,56
11/8/2024,59
11/7/2024,60
11/6/2024,56
11/5/2024,58
11/4/2024,60
11/1/2024,64
10/31/2024,63
10/30/2024,63
10/29/2024,63
10/28/2024,62
10/25/2024,62
10/24/2024,62
10/23/2024,62
10/22/2024,63
10/21/2024,63
10/18/2024,63
10/17/2024,65
10/16/2024,68
10/15/2024,66
10/14/2024,67
10/11/2024,67
10/10/2024,59
10/9/2024,59
10/8/2024,59
10/7/2024,59
10/4/2024,60
10/3/2024,59
10/2/2024,59
10/1/2024,59
9/30/2024,59
9/27/2024,59
9/26/2024,59
9/25/2024,59
9/24/2024,59
9/23/2024,60
9/20/2024,60
9/19/2024,60
9/18/2024,60
9/17/2024,60
9/13/2024,59
9/12/2024,59
9/11/2024,59
9/10/2024,59
9/9/2024,59
9/6/2024,60
9/5/2024,60
9/4/2024,59
9/3/2024,60
9/2/2024,59
8/30/2024,59
8/29/2024,60
8/28/2024,60
8/27/2024,61
8/26/2024,60
8/23/2024,60
8/22/2024,60
8/21/2024,61
8/20/2024,61
8/19/2024,62
8/16/2024,62
8/15/2024,62
8/14/2024,62
8/13/2024,62
8/12/2024,64
8/9/2024,80
8/8/2024,72
8/7/2024,74
8/6/2024,74
8/5/2024,72
8/2/2024,76
8/1/2024,76
7/31/2024,75
7/30/2024,74
7/29/2024,74
7/26/2024,74
7/25/2024,76
7/24/2024,75
7/23/2024,75
7/22/2024,76
7/19/2024,77
7/18/2024,78
7/17/2024,78
7/16/2024,78
7/15/2024,78
7/12/2024,79
7/11/2024,79
7/10/2024,78
7/9/2024,79
7/8/2024,80
7/5/2024,84
7/4/2024,85
7/3/2024,79
7/2/2024,79
7/1/2024,79
6/28/2024,79
6/27/2024,78
6/26/2024,78
6/25/2024,79
6/24/2024,81
6/21/2024,82
6/20/2024,84
6/19/2024,83
6/14/2024,87
6/13/2024,80
6/12/2024,85
6/11/2024,75
6/10/2024,76
6/7/2024,77
6/6/2024,78
6/5/2024,80
6/4/2024,76
6/3/2024,80
5/31/2024,77
5/30/2024,78
5/29/2024,76
5/28/2024,76
5/27/2024,75
5/22/2024,72
5/21/2024,74
