Date,Price
12/30/2024,149
12/27/2024,140
12/24/2024,155
12/5/2024,172
12/4/2024,167
12/2/2024,167
11/29/2024,135
11/28/2024,103
11/26/2024,101
11/25/2024,110
11/22/2024,120
11/21/2024,120
11/20/2024,125
11/19/2024,120
11/18/2024,115
11/15/2024,121
11/14/2024,116
11/13/2024,115
11/12/2024,116
11/11/2024,106
11/8/2024,97
11/7/2024,93
11/6/2024,85
11/5/2024,78
11/4/2024,71
11/1/2024,77
10/31/2024,80
10/30/2024,80
10/29/2024,80
10/28/2024,73
10/25/2024,71
10/24/2024,76
10/23/2024,84
10/22/2024,93
10/21/2024,93
10/18/2024,91
10/17/2024,86
10/16/2024,79
10/15/2024,81
10/14/2024,74
10/11/2024,68
10/10/2024,62
10/9/2024,57
10/8/2024,52
10/7/2024,56
10/4/2024,57
10/3/2024,58
10/2/2024,59
10/1/2024,59
9/30/2024,61
9/27/2024,66
9/26/2024,65
9/25/2024,62
9/24/2024,68
9/23/2024,74
9/20/2024,72
9/19/2024,67
9/18/2024,68
9/17/2024,63
9/13/2024,69
9/12/2024,63
9/11/2024,58
9/10/2024,53
9/9/2024,49
9/6/2024,45
9/5/2024,41
9/4/2024,38
9/3/2024,35
9/2/2024,32
8/30/2024,30
8/29/2024,28
8/28/2024,26
8/27/2024,24
8/26/2024,22
8/23/2024,20
8/22/2024,19
8/21/2024,18
8/20/2024,17
8/19/2024,16
8/16/2024,15
8/15/2024,14
8/14/2024,13
8/13/2024,12
8/12/2024,11
8/9/2024,10
8/8/2024,9
8/7/2024,9
8/6/2024,9
8/5/2024,9
8/2/2024,9
8/1/2024,10
7/31/2024,10
7/30/2024,9
7/29/2024,9
7/26/2024,9
7/25/2024,8
7/24/2024,8
7/23/2024,8
7/22/2024,8
7/19/2024,9
7/18/2024,8
7/17/2024,7
7/16/2024,7
7/15/2024,7
7/12/2024,7
7/11/2024,8
7/10/2024,9
7/9/2024,10
7/8/2024,11
7/5/2024,12
7/4/2024,12
7/3/2024,11
7/2/2024,10
7/1/2024,9
6/28/2024,10
6/27/2024,11
6/26/2024,12
6/25/2024,13
6/24/2024,14
6/21/2024,15
6/20/2024,16
6/19/2024,17
6/14/2024,18
6/13/2024,20
6/12/2024,22
6/11/2024,24
6/10/2024,26
6/7/2024,28
6/6/2024,31
6/5/2024,34
6/4/2024,37
6/3/2024,41
5/31/2024,45
5/30/2024,50
5/29/2024,50
5/28/2024,50
5/27/2024,50
5/22/2024,50
5/21/2024,50
5/20/2024,50
5/17/2024,50
5/16/2024,50
5/15/2024,50
5/14/2024,50
5/13/2024,50
5/8/2024,50
5/7/2024,50
5/6/2024,50
5/3/2024,50
5/2/2024,50
4/30/2024,50
4/29/2024,50
4/26/2024,50
4/25/2024,50
4/24/2024,50
4/23/2024,50
4/22/2024,50
4/19/2024,50
4/18/2024,50
4/17/2024,50
4/16/2024,50
4/5/2024,50
4/4/2024,50
4/3/2024,50
4/2/2024,50
4/1/2024,50
3/28/2024,50
3/27/2024,50
3/26/2024,50
3/25/2024,50
3/22/2024,50
3/21/2024,50
3/20/2024,50
3/19/2024,50
3/18/2024,50
3/15/2024,50
3/14/2024,50
3/13/2024,50
3/8/2024,50
3/7/2024,50
3/6/2024,50
3/5/2024,50
3/4/2024,50
3/1/2024,50
2/29/2024,50
2/28/2024,50
2/27/2024,50
2/26/2024,50
2/23/2024,50
2/22/2024,50
2/21/2024,50
2/20/2024,50
2/19/2024,50
2/16/2024,50
2/15/2024,50
2/13/2024,50
2/12/2024,50
2/7/2024,50
2/6/2024,50
2/5/2024,50
2/2/2024,50
2/1/2024,50
1/31/2024,50
1/30/2024,50
1/29/2024,50
1/26/2024,50
1/25/2024,50
1/24/2024,50
1/23/2024,50
1/22/2024,50
1/19/2024,50
1/18/2024,50
1/17/2024,50
1/16/2024,50
1/15/2024,50
1/12/2024,50
1/11/2024,50
1/10/2024,50
1/9/2024,50
1/8/2024,50
1/5/2024,50
1/4/2024,50
1/3/2024,50
1/2/2024,50
12/29/2023,50
12/28/2023,50
12/27/2023,50
12/22/2023,50
12/21/2023,50
12/20/2023,50
12/19/2023,50
12/18/2023,50
12/15/2023,50
12/14/2023,50
12/13/2023,50
12/12/2023,50
12/11/2023,50
12/8/2023,50
12/7/2023,50
12/6/2023,50
12/5/2023,50
12/4/2023,50
12/1/2023,50
11/30/2023,50
11/29/2023,50
11/28/2023,50
11/27/2023,50
11/24/2023,50
11/23/2023,60
11/22/2023,66
11/21/2023,67
11/20/2023,50
11/17/2023,50
11/16/2023,50
11/15/2023,50
11/14/2023,50
11/13/2023,50
11/10/2023,50
11/9/2023,50
11/8/2023,50
11/7/2023,50
11/6/2023,50
11/3/2023,50
11/2/2023,50
11/1/2023,50
10/31/2023,50
10/30/2023,50
10/27/2023,50
10/26/2023,50
10/25/2023,50
10/24/2023,50
10/23/2023,50
10/20/2023,50
10/19/2023,50
10/18/2023,50
10/17/2023,50
10/16/2023,50
10/13/2023,50
10/12/2023,50
10/11/2023,50
10/10/2023,50
10/9/2023,50
10/6/2023,50
10/5/2023,50
10/4/2023,50
10/3/2023,50
10/2/2023,51
9/29/2023,51
9/27/2023,51
9/26/2023,50
9/25/2023,51
9/22/2023,51
9/21/2023,51
9/20/2023,50
9/19/2023,51
9/18/2023,50
9/15/2023,50
9/14/2023,50
9/13/2023,50
9/12/2023,50
9/11/2023,50
9/8/2023,50
9/7/2023,50
9/6/2023,50
9/5/2023,50
9/4/2023,50
9/1/2023,50
8/31/2023,50
8/30/2023,50
8/29/2023,50
8/28/2023,50
8/25/2023,50
8/24/2023,50
8/23/2023,50
8/22/2023,50
8/21/2023,50
8/18/2023,50
8/16/2023,50
8/15/2023,50
8/14/2023,50
8/11/2023,50
8/10/2023,50
8/9/2023,50
8/8/2023,50
8/7/2023,50
8/4/2023,50
8/3/2023,50
8/2/2023,50
8/1/2023,50
7/31/2023,50
7/28/2023,50
7/27/2023,50
7/26/2023,50
7/25/2023,50
7/24/2023,50
7/21/2023,50
7/20/2023,50
7/18/2023,50
7/17/2023,50
7/14/2023,50
7/13/2023,50
7/12/2023,50
7/11/2023,50
7/10/2023,50
7/7/2023,50
7/6/2023,50
7/5/2023,50
7/4/2023,50
7/3/2023,50
6/27/2023,50
6/26/2023,50
6/23/2023,50
6/22/2023,50
6/21/2023,50
6/20/2023,50
6/19/2023,50
6/16/2023,50
6/15/2023,50
6/14/2023,50
6/13/2023,50
6/12/2023,50
6/9/2023,50
6/8/2023,51
6/7/2023,50
6/6/2023,51
6/5/2023,51
5/31/2023,59
5/30/2023,63
5/29/2023,67
5/26/2023,71
5/25/2023,73
5/24/2023,73
5/23/2023,73
5/22/2023,76
5/19/2023,75
5/17/2023,80
5/16/2023,85
5/15/2023,90
5/12/2023,95
5/11/2023,100
5/10/2023,100
5/9/2023,94
5/8/2023,90
5/5/2023,80
5/4/2023,80
5/3/2023,80
5/2/2023,79
4/28/2023,81
4/27/2023,77
4/26/2023,77
4/18/2023,69
4/17/2023,74
4/14/2023,78
4/13/2023,83
4/12/2023,83
4/11/2023,89
4/10/2023,95
4/6/2023,102
4/5/2023,109
4/4/2023,115
4/3/2023,121
3/31/2023,109
3/30/2023,117
3/29/2023,125
3/28/2023,129
3/27/2023,128
3/24/2023,121
3/21/2023,119
3/20/2023,118
