Date,Price
11/29/2024,276
11/28/2024,246
11/26/2024,240
11/25/2024,244
11/22/2024,236
11/21/2024,226
11/20/2024,216
11/19/2024,220
11/18/2024,212
11/15/2024,216
11/14/2024,214
11/13/2024,220
11/12/2024,220
11/11/2024,216
11/8/2024,212
11/7/2024,208
11/6/2024,208
11/5/2024,212
11/4/2024,206
11/1/2024,212
10/31/2024,220
10/30/2024,216
10/29/2024,218
10/28/2024,210
10/25/2024,218
10/24/2024,224
10/23/2024,226
10/22/2024,230
10/21/2024,228
10/18/2024,226
10/17/2024,226
10/16/2024,218
10/15/2024,216
10/14/2024,214
10/11/2024,212
10/10/2024,206
10/9/2024,204
10/8/2024,202
10/7/2024,200
10/4/2024,199
10/3/2024,198
10/2/2024,195
10/1/2024,197
9/30/2024,196
9/27/2024,195
9/26/2024,193
9/25/2024,190
9/24/2024,187
9/23/2024,186
9/20/2024,185
9/19/2024,188
9/18/2024,189
9/17/2024,189
9/13/2024,186
9/12/2024,186
9/11/2024,185
9/10/2024,188
9/9/2024,189
9/6/2024,191
9/5/2024,189
9/4/2024,187
9/3/2024,187
9/2/2024,185
8/30/2024,184
8/29/2024,184
8/28/2024,187
8/27/2024,188
8/26/2024,188
8/23/2024,188
8/22/2024,187
8/21/2024,187
8/20/2024,187
8/19/2024,186
8/16/2024,185
8/15/2024,187
8/14/2024,188
8/13/2024,187
8/12/2024,186
8/9/2024,183
8/8/2024,183
8/7/2024,184
8/6/2024,184
8/5/2024,186
8/2/2024,187
8/1/2024,188
7/31/2024,188
7/30/2024,186
7/29/2024,186
7/26/2024,187
7/25/2024,185
7/24/2024,185
7/23/2024,185
7/22/2024,184
7/19/2024,184
7/18/2024,184
7/17/2024,182
7/16/2024,182
7/15/2024,182
7/12/2024,183
7/11/2024,182
7/10/2024,185
7/9/2024,184
7/8/2024,184
7/5/2024,186
7/4/2024,183
7/3/2024,178
7/2/2024,176
7/1/2024,177
6/28/2024,182
6/27/2024,181
6/26/2024,183
6/25/2024,183
6/24/2024,184
6/21/2024,185
6/20/2024,184
6/19/2024,180
6/14/2024,187
6/13/2024,188
6/12/2024,188
6/11/2024,187
6/10/2024,186
6/7/2024,186
6/6/2024,186
6/5/2024,185
6/4/2024,187
6/3/2024,187
5/31/2024,186
5/30/2024,185
5/29/2024,188
5/28/2024,190
5/27/2024,189
5/22/2024,188
5/21/2024,187
5/20/2024,190
5/17/2024,189
5/16/2024,195
5/15/2024,194
5/14/2024,194
5/13/2024,193
5/8/2024,196
5/7/2024,195
5/6/2024,197
5/3/2024,199
5/2/2024,200
4/30/2024,200
4/29/2024,200
4/26/2024,202
4/25/2024,210
4/24/2024,212
4/23/2024,212
4/22/2024,212
4/19/2024,210
4/18/2024,208
4/17/2024,204
4/16/2024,202
4/5/2024,202
4/4/2024,200
4/3/2024,198
4/2/2024,197
4/1/2024,196
3/28/2024,194
3/27/2024,192
3/26/2024,191
3/25/2024,190
3/22/2024,187
3/21/2024,184
3/20/2024,180
3/19/2024,177
3/18/2024,175
3/15/2024,175
3/14/2024,173
3/13/2024,174
3/8/2024,175
3/7/2024,174
3/6/2024,177
3/5/2024,181
3/4/2024,183
3/1/2024,184
2/29/2024,185
2/28/2024,186
2/27/2024,185
2/26/2024,190
2/23/2024,190
2/22/2024,195
2/21/2024,193
2/20/2024,192
2/19/2024,189
2/16/2024,193
2/15/2024,195
2/13/2024,194
2/12/2024,193
2/7/2024,193
2/6/2024,197
2/5/2024,197
2/2/2024,196
2/1/2024,195
1/31/2024,192
1/30/2024,190
1/29/2024,192
1/26/2024,188
1/25/2024,190
1/24/2024,189
1/23/2024,191
1/22/2024,186
1/19/2024,184
1/18/2024,185
1/17/2024,182
1/16/2024,181
1/15/2024,180
1/12/2024,177
1/11/2024,182
1/10/2024,185
1/9/2024,190
1/8/2024,189
1/5/2024,192
1/4/2024,190
1/3/2024,185
1/2/2024,183
12/29/2023,177
12/28/2023,166
12/27/2023,165
12/22/2023,166
12/21/2023,165
12/20/2023,169
12/19/2023,175
12/18/2023,175
12/15/2023,174
12/14/2023,173
12/13/2023,175
12/12/2023,174
12/11/2023,173
12/8/2023,180
12/7/2023,180
12/6/2023,180
12/5/2023,182
12/4/2023,182
12/1/2023,185
10/31/2023,161
10/30/2023,130
10/27/2023,170
10/26/2023,183
10/25/2023,185
10/24/2023,186
10/23/2023,188
10/20/2023,188
10/19/2023,187
10/18/2023,189
10/17/2023,191
10/16/2023,191
10/13/2023,196
10/12/2023,194
10/11/2023,189
10/10/2023,190
10/9/2023,192
10/6/2023,190
10/5/2023,190
10/4/2023,193
10/3/2023,204
10/2/2023,197
9/29/2023,200
9/27/2023,199
9/26/2023,198
9/25/2023,199
9/22/2023,195
9/21/2023,191
9/20/2023,187
9/19/2023,186
9/18/2023,187
9/15/2023,172
9/14/2023,179
9/13/2023,185
9/12/2023,189
9/11/2023,189
9/8/2023,193
9/7/2023,185
9/6/2023,179
9/5/2023,189
9/4/2023,187
9/1/2023,181
8/31/2023,180
8/30/2023,185
8/29/2023,184
8/28/2023,187
8/25/2023,197
8/24/2023,210
8/23/2023,212
8/22/2023,200
8/21/2023,198
8/18/2023,194
8/16/2023,206
8/15/2023,212
8/14/2023,210
8/11/2023,212
8/10/2023,222
8/9/2023,226
8/8/2023,226
8/7/2023,216
8/4/2023,226
8/3/2023,224
8/2/2023,226
8/1/2023,208
7/31/2023,224
7/28/2023,226
7/27/2023,224
7/26/2023,220
7/25/2023,218
7/24/2023,212
7/21/2023,218
7/20/2023,220
7/18/2023,224
7/17/2023,220
7/14/2023,214
7/13/2023,208
7/12/2023,218
7/11/2023,218
7/10/2023,218
7/7/2023,214
7/6/2023,214
7/5/2023,210
7/4/2023,208
7/3/2023,202
6/27/2023,212
6/26/2023,208
6/23/2023,199
6/22/2023,198
6/21/2023,194
6/20/2023,193
6/19/2023,193
6/16/2023,193
6/15/2023,189
6/14/2023,191
6/13/2023,190
6/12/2023,186
6/9/2023,181
6/8/2023,168
6/7/2023,161
6/6/2023,160
6/5/2023,158
5/31/2023,155
5/30/2023,159
5/29/2023,155
5/26/2023,154
5/25/2023,150
5/24/2023,148
5/23/2023,144
5/22/2023,145
5/19/2023,148
5/17/2023,147
5/16/2023,146
5/15/2023,144
5/12/2023,140
5/11/2023,137
5/10/2023,142
5/9/2023,140
5/8/2023,137
5/5/2023,135
5/4/2023,143
5/3/2023,137
5/2/2023,138
4/28/2023,144
4/27/2023,150
4/26/2023,151
4/18/2023,150
4/17/2023,148
4/14/2023,154
4/13/2023,154
4/12/2023,153
4/11/2023,156
4/10/2023,148
4/6/2023,145
4/5/2023,147
4/4/2023,146
4/3/2023,147
3/31/2023,146
3/30/2023,142
3/29/2023,148
3/28/2023,146
3/27/2023,144
3/24/2023,141
3/21/2023,140
3/20/2023,138
3/17/2023,138
3/16/2023,131
3/15/2023,133
3/14/2023,130
3/13/2023,128
