Date,Price
12/30/2024,130
12/27/2024,130
12/24/2024,128
12/23/2024,129
12/20/2024,122
12/19/2024,126
12/18/2024,127
12/17/2024,129
12/16/2024,133
12/13/2024,129
12/12/2024,132
12/11/2024,134
12/10/2024,129
12/9/2024,128
12/6/2024,128
12/5/2024,121
12/4/2024,129
12/3/2024,129
12/2/2024,127
11/29/2024,130
11/28/2024,131
11/26/2024,132
11/25/2024,137
11/22/2024,133
11/21/2024,134
11/20/2024,133
11/19/2024,138
11/18/2024,132
11/15/2024,132
11/14/2024,140
11/13/2024,147
11/12/2024,129
11/11/2024,131
11/8/2024,128
11/7/2024,123
11/6/2024,131
11/5/2024,133
11/4/2024,133
11/1/2024,140
10/31/2024,148
10/30/2024,153
10/29/2024,156
10/28/2024,156
10/25/2024,151
10/24/2024,156
10/23/2024,164
10/22/2024,164
10/21/2024,163
10/18/2024,155
10/17/2024,160
10/16/2024,155
10/15/2024,155
10/14/2024,149
10/11/2024,149
10/10/2024,149
10/9/2024,149
10/8/2024,150
10/7/2024,150
10/4/2024,150
10/3/2024,153
10/2/2024,151
10/1/2024,151
9/30/2024,150
9/27/2024,140
9/26/2024,142
9/25/2024,142
9/24/2024,145
9/23/2024,147
9/20/2024,140
9/19/2024,136
9/18/2024,135
9/17/2024,135
9/13/2024,126
9/12/2024,126
9/11/2024,126
9/10/2024,129
9/9/2024,128
9/6/2024,129
9/5/2024,131
9/4/2024,132
9/3/2024,131
9/2/2024,130
8/30/2024,128
8/29/2024,131
8/28/2024,137
8/27/2024,139
8/26/2024,138
8/23/2024,140
8/22/2024,139
8/21/2024,140
8/20/2024,140
8/19/2024,140
8/16/2024,141
8/15/2024,137
8/14/2024,139
8/13/2024,122
8/12/2024,121
8/9/2024,120
8/8/2024,122
8/7/2024,122
8/6/2024,122
8/5/2024,120
8/2/2024,130
8/1/2024,130
7/31/2024,130
7/30/2024,131
7/29/2024,134
7/26/2024,129
7/25/2024,130
7/24/2024,130
7/23/2024,135
7/22/2024,136
7/19/2024,135
7/18/2024,143
7/17/2024,147
7/16/2024,132
7/15/2024,132
7/12/2024,132
7/11/2024,132
7/10/2024,134
7/9/2024,127
7/8/2024,125
7/5/2024,127
7/4/2024,126
7/3/2024,94
7/2/2024,91
7/1/2024,91
6/28/2024,94
6/27/2024,94
6/26/2024,94
6/25/2024,95
6/24/2024,95
6/21/2024,95
6/20/2024,95
6/19/2024,94
6/14/2024,100
6/13/2024,114
6/12/2024,115
6/11/2024,117
6/10/2024,116
6/7/2024,111
6/6/2024,109
6/5/2024,101
6/4/2024,112
6/3/2024,115
5/31/2024,114
5/30/2024,115
5/29/2024,116
5/28/2024,116
5/27/2024,116
5/22/2024,116
5/21/2024,116
5/20/2024,117
5/17/2024,119
5/16/2024,119
