Date,Price
12/30/2024,50
12/27/2024,50
12/24/2024,50
12/23/2024,50
12/20/2024,50
12/19/2024,50
12/18/2024,50
12/17/2024,50
12/16/2024,50
12/13/2024,50
12/12/2024,50
12/11/2024,50
12/10/2024,50
12/9/2024,50
12/6/2024,50
12/5/2024,51
12/4/2024,52
12/3/2024,51
12/2/2024,50
11/29/2024,50
11/28/2024,50
11/26/2024,50
11/25/2024,50
11/22/2024,51
11/21/2024,50
11/20/2024,50
11/19/2024,52
11/18/2024,51
11/15/2024,51
11/14/2024,52
11/13/2024,53
11/12/2024,54
11/11/2024,53
11/8/2024,51
11/7/2024,52
11/6/2024,56
11/5/2024,57
11/4/2024,56
11/1/2024,57
10/31/2024,57
10/30/2024,58
10/29/2024,58
10/28/2024,59
10/25/2024,62
10/24/2024,58
10/23/2024,57
10/22/2024,57
10/21/2024,59
10/18/2024,57
10/17/2024,57
10/16/2024,58
10/15/2024,60
10/14/2024,59
10/11/2024,56
10/10/2024,57
10/9/2024,57
10/8/2024,58
10/7/2024,59
10/4/2024,60
10/3/2024,60
10/2/2024,60
10/1/2024,62
9/30/2024,61
9/27/2024,60
9/26/2024,59
9/25/2024,59
9/24/2024,59
9/23/2024,58
9/20/2024,57
9/19/2024,58
9/18/2024,58
9/17/2024,57
9/13/2024,58
9/12/2024,59
9/11/2024,61
9/10/2024,58
9/9/2024,60
9/6/2024,61
9/5/2024,61
9/4/2024,60
9/3/2024,62
9/2/2024,62
8/30/2024,62
8/29/2024,61
8/28/2024,63
8/27/2024,62
8/26/2024,63
8/23/2024,63
8/22/2024,61
8/21/2024,63
8/20/2024,62
8/19/2024,64
8/16/2024,67
8/15/2024,68
8/14/2024,66
8/13/2024,66
8/12/2024,66
8/9/2024,65
8/8/2024,68
8/7/2024,76
8/6/2024,72
8/5/2024,60
8/2/2024,65
8/1/2024,63
7/31/2024,66
7/30/2024,69
7/29/2024,69
7/26/2024,72
7/25/2024,76
7/24/2024,83
7/23/2024,94
7/22/2024,83
7/19/2024,72
7/18/2024,67
7/17/2024,94
7/16/2024,77
7/15/2024,62
7/12/2024,59
7/11/2024,58
7/10/2024,57
7/9/2024,58
7/8/2024,59
7/5/2024,58
7/4/2024,57
7/3/2024,56
7/2/2024,55
7/1/2024,54
6/28/2024,53
6/27/2024,54
6/26/2024,52
6/25/2024,53
6/24/2024,56
6/21/2024,55
6/20/2024,51
6/19/2024,51
6/14/2024,51
6/13/2024,52
6/12/2024,52
6/11/2024,52
6/10/2024,54
6/7/2024,55
6/6/2024,52
6/5/2024,51
6/4/2024,52
6/3/2024,50
5/31/2024,55
5/30/2024,58
5/29/2024,57
5/28/2024,59
5/27/2024,60
5/22/2024,58
5/21/2024,55
