Date,Price
12/30/2024,71
12/27/2024,66
12/24/2024,65
12/23/2024,63
12/20/2024,58
12/19/2024,55
12/18/2024,60
12/17/2024,63
12/16/2024,66
12/13/2024,73
12/12/2024,73
12/11/2024,72
12/10/2024,67
12/9/2024,74
12/6/2024,68
12/5/2024,62
12/4/2024,57
12/3/2024,57
12/2/2024,52
11/29/2024,48
11/28/2024,44
11/26/2024,40
11/25/2024,38
11/22/2024,38
11/21/2024,38
11/20/2024,40
11/19/2024,40
11/18/2024,41
11/15/2024,41
11/14/2024,41
11/13/2024,42
11/12/2024,42
11/11/2024,41
11/8/2024,41
11/7/2024,42
11/6/2024,43
11/5/2024,44
11/4/2024,43
11/1/2024,43
10/31/2024,43
10/30/2024,47
10/29/2024,47
10/28/2024,47
10/25/2024,47
10/24/2024,46
10/23/2024,46
10/22/2024,44
10/21/2024,44
10/18/2024,43
10/17/2024,44
10/16/2024,44
10/15/2024,44
10/14/2024,44
10/11/2024,43
10/10/2024,43
10/9/2024,43
10/8/2024,44
10/7/2024,43
10/4/2024,42
10/3/2024,42
10/2/2024,43
10/1/2024,42
9/30/2024,42
9/27/2024,43
9/26/2024,43
9/25/2024,44
9/24/2024,44
9/23/2024,43
9/20/2024,44
9/19/2024,44
9/18/2024,43
9/17/2024,43
9/13/2024,44
9/12/2024,44
9/11/2024,44
9/10/2024,44
9/9/2024,44
9/6/2024,44
9/5/2024,44
9/4/2024,42
9/3/2024,41
9/2/2024,42
8/30/2024,42
8/29/2024,43
8/28/2024,43
8/27/2024,43
8/26/2024,44
8/23/2024,43
8/22/2024,42
8/21/2024,42
8/20/2024,43
8/19/2024,43
8/16/2024,45
8/15/2024,42
8/14/2024,43
8/13/2024,43
8/12/2024,41
8/9/2024,43
8/8/2024,44
8/7/2024,43
8/6/2024,41
8/5/2024,42
8/2/2024,46
8/1/2024,45
7/31/2024,42
7/30/2024,41
7/29/2024,43
7/26/2024,46
7/25/2024,46
7/24/2024,49
7/23/2024,45
7/22/2024,41
7/19/2024,38
7/18/2024,36
7/17/2024,33
7/16/2024,31
7/15/2024,31
7/12/2024,32
