Date,Price
12/30/2024,58
12/27/2024,56
12/24/2024,55
12/23/2024,58
12/20/2024,61
12/19/2024,63
12/18/2024,65
12/17/2024,64
12/16/2024,65
12/13/2024,65
12/12/2024,65
12/11/2024,66
12/10/2024,65
12/9/2024,65
12/6/2024,66
12/5/2024,66
12/4/2024,65
12/3/2024,66
12/2/2024,66
11/29/2024,67
11/28/2024,69
11/26/2024,68
11/25/2024,68
11/22/2024,69
11/21/2024,69
11/20/2024,71
11/19/2024,69
11/18/2024,70
11/15/2024,67
11/14/2024,69
11/13/2024,69
11/12/2024,68
11/11/2024,69
11/8/2024,69
11/7/2024,70
11/6/2024,69
11/5/2024,69
11/4/2024,70
11/1/2024,73
10/31/2024,73
10/30/2024,74
10/29/2024,75
10/28/2024,75
10/25/2024,75
10/24/2024,77
10/23/2024,78
10/22/2024,80
10/21/2024,78
10/18/2024,69
10/17/2024,70
10/16/2024,71
10/15/2024,68
10/14/2024,68
10/11/2024,68
10/10/2024,67
10/9/2024,68
10/8/2024,69
10/7/2024,69
10/4/2024,67
10/3/2024,68
10/2/2024,68
10/1/2024,68
9/30/2024,68
9/27/2024,70
9/26/2024,71
9/25/2024,72
9/24/2024,72
9/23/2024,73
9/20/2024,76
9/19/2024,78
9/18/2024,81
9/17/2024,75
9/13/2024,74
9/12/2024,76
9/11/2024,77
9/10/2024,76
9/9/2024,85
9/6/2024,87
9/5/2024,87
9/4/2024,87
9/3/2024,87
9/2/2024,87
8/30/2024,90
8/29/2024,92
8/28/2024,71
8/27/2024,69
8/26/2024,69
8/23/2024,70
8/22/2024,70
8/21/2024,73
8/20/2024,73
8/19/2024,74
8/16/2024,73
8/15/2024,72
8/14/2024,71
8/13/2024,76
8/12/2024,72
8/9/2024,69
8/8/2024,68
8/7/2024,52
8/6/2024,52
8/5/2024,52
8/2/2024,52
8/1/2024,53
7/31/2024,53
7/30/2024,53
7/29/2024,51
7/26/2024,50
7/25/2024,51
7/24/2024,53
7/23/2024,51
7/22/2024,50
7/19/2024,51
7/18/2024,51
7/17/2024,51
7/16/2024,51
7/15/2024,51
7/12/2024,51
7/11/2024,51
7/10/2024,51
7/9/2024,51
7/8/2024,50
7/5/2024,51
7/4/2024,51
