Date,Price
12/30/2024,410
12/27/2024,418
12/24/2024,404
12/23/2024,404
12/20/2024,398
12/19/2024,400
12/18/2024,412
12/17/2024,406
12/16/2024,418
12/13/2024,416
12/12/2024,420
12/11/2024,418
12/10/2024,420
12/9/2024,430
12/6/2024,430
12/5/2024,432
12/4/2024,428
12/3/2024,428
12/2/2024,422
11/29/2024,430
11/28/2024,424
11/26/2024,426
11/25/2024,420
11/22/2024,434
11/21/2024,440
11/20/2024,428
11/19/2024,432
11/18/2024,428
11/15/2024,440
11/14/2024,458
11/13/2024,436
11/12/2024,438
11/11/2024,410
11/8/2024,406
11/7/2024,432
11/6/2024,384
11/5/2024,372
11/4/2024,380
11/1/2024,378
10/31/2024,374
10/30/2024,380
10/29/2024,384
10/28/2024,390
10/25/2024,410
10/24/2024,420
10/23/2024,410
10/22/2024,426
10/21/2024,422
10/18/2024,356
10/17/2024,318
10/16/2024,316
10/15/2024,306
10/14/2024,308
10/11/2024,276
10/10/2024,274
10/9/2024,274
10/8/2024,278
10/7/2024,270
10/4/2024,264
10/3/2024,268
10/2/2024,256
10/1/2024,266
9/30/2024,266
9/27/2024,258
9/26/2024,270
9/25/2024,270
9/24/2024,274
9/23/2024,274
9/20/2024,274
9/19/2024,278
9/18/2024,276
9/17/2024,280
9/13/2024,264
9/12/2024,264
9/11/2024,266
9/10/2024,264
9/9/2024,250
9/6/2024,268
9/5/2024,274
9/4/2024,272
9/3/2024,282
9/2/2024,276
8/30/2024,280
8/29/2024,282
8/28/2024,278
8/27/2024,284
8/26/2024,294
8/23/2024,294
8/22/2024,284
8/21/2024,286
8/20/2024,306
8/19/2024,292
8/16/2024,258
8/15/2024,252
8/14/2024,240
8/13/2024,246
8/12/2024,232
8/9/2024,230
8/8/2024,224
8/7/2024,224
8/6/2024,220
8/5/2024,208
8/2/2024,214
8/1/2024,224
7/31/2024,232
7/30/2024,200
7/29/2024,200
7/26/2024,202
7/25/2024,198
7/24/2024,196
7/23/2024,200
7/22/2024,197
7/19/2024,197
7/18/2024,200
7/17/2024,216
7/16/2024,208
7/15/2024,204
7/12/2024,208
7/11/2024,208
7/10/2024,206
7/9/2024,208
7/8/2024,200
7/5/2024,204
7/4/2024,193
7/3/2024,192
7/2/2024,191
7/1/2024,195
6/28/2024,194
6/27/2024,181
6/26/2024,188
6/25/2024,187
6/24/2024,191
6/21/2024,186
6/20/2024,182
6/19/2024,168
6/14/2024,168
6/13/2024,170
6/12/2024,170
6/11/2024,174
6/10/2024,167
6/7/2024,167
6/6/2024,173
6/5/2024,164
6/4/2024,164
6/3/2024,171
5/31/2024,171
5/30/2024,174
5/29/2024,174
5/28/2024,178
5/27/2024,161
5/22/2024,170
5/21/2024,176
5/20/2024,185
5/17/2024,185
5/16/2024,180
5/15/2024,180
5/14/2024,181
