Date,Price
12/30/2024,159
12/27/2024,140
12/24/2024,137
12/23/2024,142
12/20/2024,143
12/19/2024,142
12/18/2024,141
12/17/2024,141
12/16/2024,141
12/13/2024,143
12/12/2024,143
12/11/2024,142
12/10/2024,143
12/9/2024,144
12/6/2024,144
12/5/2024,144
12/4/2024,144
12/3/2024,142
12/2/2024,139
11/29/2024,145
11/28/2024,138
11/26/2024,136
11/25/2024,137
11/22/2024,139
11/21/2024,134
11/20/2024,135
11/19/2024,134
11/18/2024,136
11/15/2024,137
11/14/2024,138
11/13/2024,141
11/12/2024,138
11/11/2024,139
11/8/2024,139
11/7/2024,137
11/6/2024,140
11/5/2024,140
11/4/2024,141
11/1/2024,143
10/31/2024,145
10/30/2024,141
10/29/2024,144
10/28/2024,150
10/25/2024,152
10/24/2024,148
10/23/2024,148
10/22/2024,148
10/21/2024,150
10/18/2024,150
10/17/2024,150
10/16/2024,150
10/15/2024,150
10/14/2024,150
10/11/2024,148
10/10/2024,148
10/9/2024,148
10/8/2024,148
10/7/2024,149
10/4/2024,148
10/3/2024,148
10/2/2024,149
10/1/2024,149
9/30/2024,149
9/27/2024,149
9/26/2024,148
9/25/2024,148
9/24/2024,149
9/23/2024,149
9/20/2024,150
9/19/2024,151
9/18/2024,150
9/17/2024,150
9/13/2024,150
9/12/2024,151
9/11/2024,151
9/10/2024,150
9/9/2024,149
9/6/2024,149
9/5/2024,149
9/4/2024,150
9/3/2024,150
9/2/2024,151
8/30/2024,150
8/29/2024,149
8/28/2024,150
8/27/2024,150
8/26/2024,150
8/23/2024,150
8/22/2024,149
8/21/2024,149
8/20/2024,149
8/19/2024,150
8/16/2024,151
8/15/2024,151
8/14/2024,151
8/13/2024,150
8/12/2024,149
8/9/2024,148
8/8/2024,148
8/7/2024,149
8/6/2024,150
8/5/2024,150
8/2/2024,151
8/1/2024,151
7/31/2024,151
7/30/2024,150
7/29/2024,150
7/26/2024,150
7/25/2024,150
7/24/2024,150
7/23/2024,150
7/22/2024,150
7/19/2024,150
7/18/2024,150
7/17/2024,150
7/16/2024,150
7/15/2024,150
7/12/2024,150
7/11/2024,147
7/10/2024,146
7/9/2024,145
7/8/2024,145
7/5/2024,145
7/4/2024,145
7/3/2024,145
7/2/2024,145
7/1/2024,145
6/28/2024,145
6/27/2024,145
6/26/2024,145
6/25/2024,145
6/24/2024,145
6/21/2024,145
6/20/2024,145
6/19/2024,145
6/14/2024,145
6/13/2024,145
6/12/2024,145
6/11/2024,147
6/10/2024,148
6/7/2024,148
6/6/2024,148
6/5/2024,148
6/4/2024,149
6/3/2024,149
5/31/2024,149
5/30/2024,149
5/29/2024,150
5/28/2024,150
5/27/2024,150
5/22/2024,151
5/21/2024,151
5/20/2024,152
5/17/2024,154
5/16/2024,154
5/15/2024,154
5/14/2024,154
5/13/2024,153
5/8/2024,154
5/7/2024,155
5/6/2024,160
5/3/2024,160
5/2/2024,156
4/30/2024,160
4/29/2024,155
4/26/2024,154
4/25/2024,156
4/24/2024,158
4/23/2024,157
4/22/2024,156
4/19/2024,157
4/18/2024,160
4/17/2024,158
4/16/2024,159
4/5/2024,160
4/4/2024,160
4/3/2024,154
4/2/2024,155
4/1/2024,155
3/28/2024,156
3/27/2024,157
3/26/2024,157
3/25/2024,160
3/22/2024,160
3/21/2024,160
3/20/2024,160
3/19/2024,160
3/18/2024,160
3/15/2024,159
3/14/2024,170
3/13/2024,176
3/8/2024,177
3/7/2024,180
3/6/2024,180
3/5/2024,180
3/4/2024,181
3/1/2024,186
1/31/2024,187
1/30/2024,193
1/29/2024,192
1/26/2024,190
1/25/2024,192
1/24/2024,194
1/23/2024,198
1/22/2024,197
1/19/2024,196
1/18/2024,187
1/17/2024,186
1/16/2024,185
1/15/2024,188
1/12/2024,194
1/11/2024,202
1/10/2024,202
1/9/2024,200
1/8/2024,202
1/5/2024,208
1/4/2024,208
1/3/2024,200
1/2/2024,200
12/29/2023,199
12/28/2023,198
12/27/2023,198
12/22/2023,195
12/21/2023,190
12/20/2023,190
12/19/2023,190
12/18/2023,188
12/15/2023,196
12/14/2023,188
12/13/2023,188
12/12/2023,187
12/11/2023,188
12/8/2023,187
12/7/2023,181
12/6/2023,176
12/5/2023,176
12/4/2023,176
12/1/2023,173
11/30/2023,176
11/29/2023,162
11/28/2023,166
11/27/2023,167
11/24/2023,176
11/23/2023,152
11/22/2023,162
11/21/2023,176
11/20/2023,181
11/17/2023,198
11/16/2023,163
11/15/2023,190
11/14/2023,184
11/13/2023,137
11/10/2023,102
11/9/2023,110
11/7/2023,133
11/6/2023,157
11/3/2023,208
11/2/2023,276
11/1/2023,366
9/29/2023,488
9/27/2023,496
9/26/2023,496
9/25/2023,498
9/22/2023,500
9/21/2023,500
9/20/2023,500
9/19/2023,498
9/18/2023,498
9/15/2023,505
9/14/2023,492
9/13/2023,494
9/12/2023,498
9/11/2023,505
9/8/2023,498
9/7/2023,498
9/6/2023,498
9/5/2023,498
9/4/2023,500
9/1/2023,496
8/31/2023,496
8/30/2023,498
8/29/2023,498
8/28/2023,494
8/25/2023,492
8/24/2023,492
8/23/2023,498
8/22/2023,496
8/21/2023,496
8/18/2023,494
8/16/2023,494
8/15/2023,498
8/14/2023,496
8/11/2023,496
8/10/2023,500
8/9/2023,500
8/8/2023,500
8/7/2023,498
8/4/2023,498
8/3/2023,500
8/2/2023,496
8/1/2023,496
7/31/2023,494
7/28/2023,490
7/27/2023,500
7/26/2023,510
7/25/2023,510
7/24/2023,520
7/21/2023,510
7/20/2023,510
7/18/2023,500
7/17/2023,505
7/14/2023,505
7/13/2023,500
7/12/2023,498
7/11/2023,488
7/10/2023,478
7/7/2023,472
7/6/2023,470
7/5/2023,468
7/4/2023,468
7/3/2023,466
6/27/2023,462
6/26/2023,454
6/23/2023,456
6/22/2023,458
6/21/2023,460
6/20/2023,460
6/19/2023,460
6/16/2023,460
6/15/2023,460
6/14/2023,462
6/13/2023,464
6/12/2023,462
6/9/2023,462
6/8/2023,462
6/7/2023,462
6/6/2023,462
6/5/2023,458
5/31/2023,456
5/30/2023,454
5/29/2023,454
5/26/2023,464
5/25/2023,466
5/24/2023,466
5/23/2023,464
5/22/2023,458
5/19/2023,454
5/17/2023,452
5/16/2023,450
5/15/2023,450
5/12/2023,450
5/11/2023,460
5/10/2023,466
5/9/2023,464
5/8/2023,458
5/5/2023,458
5/4/2023,460
5/3/2023,458
5/2/2023,454
4/28/2023,456
4/27/2023,456
4/26/2023,452
4/18/2023,448
4/17/2023,448
4/14/2023,456
4/13/2023,460
4/12/2023,464
4/11/2023,472
4/10/2023,478
4/6/2023,486
4/5/2023,490
4/4/2023,490
4/3/2023,490
3/31/2023,490
3/30/2023,496
3/29/2023,505
3/28/2023,500
3/27/2023,498
3/24/2023,490
3/21/2023,482
3/20/2023,476
3/17/2023,474
3/16/2023,470
3/15/2023,476
3/14/2023,484
3/13/2023,496
3/10/2023,496
3/9/2023,494
3/8/2023,488
3/7/2023,488
3/6/2023,488
3/3/2023,488
3/2/2023,488
3/1/2023,486
2/28/2023,480
2/27/2023,476
2/24/2023,468
2/23/2023,464
2/22/2023,466
2/21/2023,464
2/20/2023,472
2/17/2023,480
2/16/2023,492
2/15/2023,496
2/14/2023,496
2/13/2023,490
2/10/2023,492
2/9/2023,490
2/8/2023,494
2/7/2023,500
2/6/2023,500
2/3/2023,498
2/2/2023,498
2/1/2023,496
1/31/2023,496
1/30/2023,498
1/27/2023,494
1/26/2023,484
1/25/2023,478
1/24/2023,484
1/20/2023,484
1/19/2023,480
1/18/2023,486
1/17/2023,490
1/16/2023,486
1/13/2023,486
1/12/2023,480
1/11/2023,472
1/10/2023,478
1/9/2023,482
1/6/2023,484
1/5/2023,490
1/4/2023,498
1/3/2023,510
1/2/2023,510
12/30/2022,505
12/29/2022,500
12/28/2022,494
12/27/2022,488
12/26/2022,484
12/23/2022,482
12/22/2022,486
12/21/2022,492
12/20/2022,510
12/19/2022,520
12/16/2022,525
12/15/2022,525
12/14/2022,530
12/13/2022,530
12/12/2022,515
12/9/2022,500
12/8/2022,498
12/7/2022,496
12/6/2022,494
12/5/2022,496
12/2/2022,505
12/1/2022,510
11/30/2022,510
11/29/2022,510
11/28/2022,498
11/25/2022,498
11/24/2022,500
11/23/2022,505
11/22/2022,515
11/21/2022,515
11/18/2022,510
11/17/2022,505
11/16/2022,500
11/15/2022,494
11/14/2022,486
11/11/2022,500
11/10/2022,498
11/9/2022,500
11/8/2022,500
11/7/2022,500
11/4/2022,510
11/3/2022,510
11/2/2022,500
11/1/2022,500
10/31/2022,498
10/28/2022,505
10/27/2022,520
10/26/2022,520
10/25/2022,515
10/24/2022,520
10/21/2022,510
10/20/2022,505
10/19/2022,500
10/18/2022,505
10/17/2022,500
10/14/2022,500
10/13/2022,510
10/12/2022,515
10/11/2022,525
10/10/2022,530
10/7/2022,530
10/6/2022,555
10/5/2022,560
10/4/2022,545
10/3/2022,540
9/30/2022,545
9/29/2022,545
9/28/2022,540
9/27/2022,530
9/26/2022,520
9/23/2022,510
9/22/2022,510
9/21/2022,520
9/20/2022,520
9/19/2022,520
9/16/2022,515
9/15/2022,525
9/14/2022,525
9/13/2022,540
9/12/2022,550
9/9/2022,550
9/8/2022,555
9/7/2022,550
9/6/2022,555
9/5/2022,550
9/2/2022,550
9/1/2022,545
8/31/2022,540
8/30/2022,545
8/29/2022,550
8/26/2022,560
8/25/2022,560
8/24/2022,560
8/23/2022,560
8/22/2022,545
8/19/2022,560
8/18/2022,555
8/16/2022,555
8/15/2022,545
8/12/2022,540
8/11/2022,545
8/10/2022,540
8/9/2022,540
8/8/2022,525
8/5/2022,535
8/4/2022,555
8/3/2022,555
8/2/2022,555
8/1/2022,570
7/29/2022,560
7/28/2022,555
7/27/2022,555
7/26/2022,555
7/25/2022,555
7/22/2022,550
7/21/2022,550
7/20/2022,550
7/19/2022,565
7/18/2022,575
7/15/2022,600
7/14/2022,605
7/13/2022,595
7/12/2022,575
7/11/2022,575
7/8/2022,575
7/7/2022,565
7/6/2022,565
7/5/2022,570
7/4/2022,565
7/1/2022,560
6/30/2022,555
6/29/2022,560
6/28/2022,565
6/27/2022,570
6/24/2022,575
6/23/2022,565
6/22/2022,560
6/21/2022,570
6/20/2022,560
6/17/2022,555
6/16/2022,575
6/15/2022,570
6/14/2022,575
6/13/2022,575
6/10/2022,590
6/9/2022,605
6/8/2022,610
6/7/2022,610
6/6/2022,610
6/3/2022,620
6/2/2022,650
5/31/2022,635
5/30/2022,635
5/27/2022,625
5/25/2022,620
5/24/2022,625
5/23/2022,625
5/20/2022,640
5/19/2022,645
5/18/2022,645
5/17/2022,635
5/13/2022,630
5/12/2022,630
5/11/2022,630
5/10/2022,630
5/9/2022,640
4/28/2022,660
4/27/2022,650
4/26/2022,675
4/25/2022,695
4/22/2022,695
4/21/2022,700
4/20/2022,695
4/19/2022,690
4/18/2022,690
4/14/2022,680
4/13/2022,680
4/12/2022,675
4/11/2022,680
4/8/2022,680
4/7/2022,705
4/6/2022,715
4/5/2022,700
4/4/2022,690
4/1/2022,690
3/31/2022,695
3/30/2022,685
3/29/2022,680
3/28/2022,670
3/25/2022,685
3/24/2022,690
3/23/2022,690
3/22/2022,690
3/21/2022,695
3/18/2022,715
3/17/2022,705
3/16/2022,695
3/15/2022,690
3/14/2022,700
3/11/2022,700
3/10/2022,700
3/9/2022,695
3/8/2022,685
3/7/2022,690
3/4/2022,700
3/2/2022,700
3/1/2022,705
2/25/2022,700
2/24/2022,720
2/23/2022,740
2/22/2022,740
2/21/2022,745
2/18/2022,740
2/17/2022,740
2/16/2022,740
2/15/2022,730
2/14/2022,720
2/11/2022,730
2/10/2022,745
2/9/2022,740
2/8/2022,775
2/7/2022,775
2/4/2022,765
2/3/2022,755
2/2/2022,740
1/31/2022,720
1/28/2022,710
1/27/2022,695
1/26/2022,700
1/25/2022,700
1/24/2022,710
1/21/2022,710
1/20/2022,710
1/19/2022,715
1/18/2022,730
1/17/2022,750
1/14/2022,755
1/13/2022,735
1/12/2022,740
1/11/2022,745
1/10/2022,745
1/7/2022,745
1/6/2022,740
1/5/2022,745
1/4/2022,745
1/3/2022,740
12/30/2021,740
12/29/2021,735
12/28/2021,720
12/27/2021,720
12/24/2021,730
12/23/2021,730
12/22/2021,715
12/21/2021,710
12/20/2021,705
12/17/2021,725
12/16/2021,730
12/15/2021,725
12/14/2021,725
12/13/2021,730
12/10/2021,750
12/9/2021,745
12/8/2021,740
12/7/2021,725
12/6/2021,710
12/3/2021,705
12/2/2021,705
12/1/2021,705
11/30/2021,720
11/29/2021,715
11/26/2021,710
11/25/2021,720
11/24/2021,710
11/23/2021,710
11/22/2021,715
11/19/2021,715
11/18/2021,715
11/17/2021,715
11/16/2021,710
11/15/2021,710
11/12/2021,720
11/11/2021,745
11/10/2021,740
11/9/2021,745
11/8/2021,735
11/5/2021,700
11/4/2021,705
11/3/2021,660
11/2/2021,670
11/1/2021,630
10/29/2021,615
10/28/2021,585
10/27/2021,585
10/26/2021,595
10/25/2021,595
10/22/2021,600
10/21/2021,590
10/19/2021,575
10/18/2021,575
10/15/2021,575
10/14/2021,580
10/13/2021,590
10/12/2021,600
10/11/2021,610
10/8/2021,615
10/7/2021,615
10/6/2021,625
10/5/2021,605
10/4/2021,600
10/1/2021,610
9/30/2021,620
9/29/2021,600
9/28/2021,595
9/27/2021,595
9/24/2021,590
9/23/2021,580
9/22/2021,580
9/21/2021,575
9/20/2021,590
9/17/2021,595
9/16/2021,605
9/15/2021,615
9/14/2021,610
9/13/2021,600
9/10/2021,600
9/9/2021,615
9/8/2021,610
9/7/2021,620
9/6/2021,595
9/3/2021,575
9/2/2021,575
9/1/2021,575
8/31/2021,575
8/30/2021,590
8/27/2021,585
8/26/2021,590
8/25/2021,600
8/24/2021,595
8/23/2021,605
8/20/2021,600
8/19/2021,595
8/18/2021,580
8/16/2021,580
8/13/2021,580
8/12/2021,580
8/10/2021,580
8/9/2021,565
8/6/2021,565
8/5/2021,550
8/4/2021,540
8/3/2021,545
8/2/2021,560
7/30/2021,550
7/29/2021,545
7/28/2021,545
7/27/2021,550
7/26/2021,545
7/23/2021,525
7/22/2021,535
7/21/2021,530
7/19/2021,530
7/16/2021,520
7/15/2021,520
7/14/2021,500
7/13/2021,530
7/12/2021,535
7/9/2021,525
7/8/2021,550
7/7/2021,545
7/6/2021,535
7/5/2021,530
7/2/2021,520
7/1/2021,540
6/30/2021,540
6/29/2021,525
6/28/2021,520
6/25/2021,520
6/24/2021,520
6/23/2021,545
6/22/2021,555
6/21/2021,515
6/18/2021,515
6/17/2021,500
6/16/2021,520
6/15/2021,535
6/14/2021,535
6/11/2021,545
6/10/2021,550
6/9/2021,555
6/8/2021,520
6/7/2021,530
6/4/2021,535
6/3/2021,540
6/2/2021,540
5/31/2021,525
5/28/2021,520
5/27/2021,525
5/25/2021,550
5/24/2021,540
5/21/2021,580
5/20/2021,595
5/19/2021,575
5/18/2021,595
5/17/2021,625
5/11/2021,585
5/10/2021,560
5/7/2021,545
5/6/2021,535
5/5/2021,525
5/4/2021,530
5/3/2021,525
4/30/2021,515
4/29/2021,530
4/28/2021,530
4/27/2021,535
4/26/2021,545
4/23/2021,545
4/22/2021,545
4/21/2021,550
4/20/2021,560
4/19/2021,560
4/16/2021,560
4/15/2021,560
4/14/2021,560
4/13/2021,555
4/12/2021,550
4/9/2021,550
4/8/2021,555
4/7/2021,565
4/6/2021,600
4/5/2021,555
4/1/2021,555
3/31/2021,545
3/30/2021,540
3/29/2021,540
3/26/2021,535
3/25/2021,535
3/24/2021,530
3/23/2021,535
3/22/2021,540
3/19/2021,555
3/18/2021,580
3/17/2021,610
3/16/2021,630
3/15/2021,670
3/12/2021,585
3/10/2021,560
3/9/2021,585
3/8/2021,520
3/5/2021,530
3/4/2021,540
3/3/2021,550
3/2/2021,545
3/1/2021,530
2/26/2021,525
2/25/2021,560
2/24/2021,535
2/23/2021,550
2/22/2021,545
2/19/2021,530
2/18/2021,540
2/17/2021,540
2/16/2021,545
2/15/2021,565
2/11/2021,570
2/10/2021,555
2/9/2021,565
2/8/2021,570
2/5/2021,570
2/4/2021,575
2/3/2021,580
2/2/2021,580
2/1/2021,575
1/29/2021,570
1/28/2021,565
1/27/2021,570
1/26/2021,575
1/25/2021,580
1/22/2021,585
1/21/2021,590
1/20/2021,575
1/19/2021,570
1/18/2021,565
1/15/2021,580
1/14/2021,580
1/13/2021,580
1/12/2021,585
1/11/2021,595
1/8/2021,600
1/7/2021,585
1/6/2021,580
1/5/2021,570
1/4/2021,580
