Date,Price
12/30/2024,126
12/27/2024,132
12/24/2024,132
12/23/2024,131
12/20/2024,135
12/19/2024,130
12/18/2024,152
12/17/2024,134
12/16/2024,127
12/13/2024,124
12/12/2024,130
12/11/2024,123
12/10/2024,124
12/9/2024,130
12/6/2024,130
12/5/2024,125
12/4/2024,131
12/3/2024,137
12/2/2024,104
11/29/2024,138
11/28/2024,161
11/26/2024,155
11/25/2024,180
11/22/2024,134
11/21/2024,106
11/20/2024,103
11/19/2024,104
11/18/2024,101
11/15/2024,101
11/14/2024,103
11/13/2024,106
11/12/2024,107
11/11/2024,110
11/8/2024,104
11/7/2024,102
11/6/2024,102
11/5/2024,101
11/4/2024,102
11/1/2024,107
10/31/2024,110
10/30/2024,110
10/29/2024,108
10/28/2024,109
10/25/2024,112
10/24/2024,107
10/23/2024,109
10/22/2024,111
10/21/2024,107
10/18/2024,111
10/17/2024,107
10/16/2024,106
10/15/2024,107
10/14/2024,111
10/11/2024,102
10/10/2024,105
10/9/2024,102
10/8/2024,110
10/7/2024,112
10/4/2024,112
10/3/2024,111
10/2/2024,112
10/1/2024,114
9/30/2024,117
9/27/2024,105
9/26/2024,118
9/25/2024,104
9/24/2024,99
9/23/2024,94
9/20/2024,94
9/19/2024,85
9/18/2024,85
9/17/2024,87
9/13/2024,88
9/12/2024,86
9/11/2024,86
9/10/2024,87
9/9/2024,88
9/6/2024,88
9/5/2024,90
9/4/2024,88
9/3/2024,90
9/2/2024,90
8/30/2024,90
8/29/2024,91
8/28/2024,90
8/27/2024,88
8/26/2024,91
8/23/2024,91
8/22/2024,92
8/21/2024,93
8/20/2024,93
8/19/2024,95
8/16/2024,93
8/15/2024,94
8/14/2024,93
8/13/2024,94
8/12/2024,96
8/9/2024,97
8/8/2024,97
8/7/2024,99
8/6/2024,100
8/5/2024,100
8/2/2024,101
8/1/2024,101
7/31/2024,101
7/30/2024,102
7/29/2024,103
7/26/2024,103
7/25/2024,99
7/24/2024,100
7/23/2024,102
7/22/2024,103
7/19/2024,102
7/18/2024,105
7/17/2024,103
7/16/2024,105
7/15/2024,107
7/12/2024,107
7/11/2024,105
7/10/2024,104
7/9/2024,105
7/8/2024,100
7/5/2024,100
7/4/2024,103
7/3/2024,104
7/2/2024,104
7/1/2024,102
6/28/2024,104
6/27/2024,106
6/26/2024,108
6/25/2024,120
6/24/2024,89
6/21/2024,105
6/20/2024,111
6/19/2024,119
6/14/2024,127
6/13/2024,194
6/12/2024,195
6/11/2024,198
6/10/2024,202
6/7/2024,202
6/6/2024,200
6/5/2024,200
6/4/2024,230
6/3/2024,202
5/31/2024,199
5/30/2024,199
5/29/2024,198
5/28/2024,200
5/27/2024,200
5/22/2024,199
5/21/2024,199
5/20/2024,202
5/17/2024,200
5/16/2024,200
5/15/2024,202
5/14/2024,200
5/13/2024,200
5/8/2024,204
5/7/2024,210
5/6/2024,197
5/3/2024,210
5/2/2024,216
4/30/2024,220
4/29/2024,220
4/26/2024,222
4/25/2024,222
4/24/2024,224
4/23/2024,222
4/22/2024,220
4/19/2024,224
4/18/2024,224
4/17/2024,224
4/16/2024,232
4/5/2024,232
4/4/2024,238
4/3/2024,236
4/2/2024,236
4/1/2024,236
3/28/2024,234
3/27/2024,236
3/26/2024,234
3/25/2024,234
3/22/2024,240
3/21/2024,240
3/20/2024,238
3/19/2024,248
3/18/2024,254
3/15/2024,254
3/14/2024,264
3/13/2024,264
3/8/2024,274
3/7/2024,256
3/6/2024,270
3/5/2024,268
3/4/2024,268
3/1/2024,268
2/29/2024,254
2/28/2024,258
2/27/2024,250
2/26/2024,248
2/23/2024,244
2/22/2024,248
2/21/2024,242
2/20/2024,240
2/19/2024,236
2/16/2024,232
2/15/2024,240
2/13/2024,240
2/12/2024,240
2/7/2024,240
2/6/2024,242
2/5/2024,246
2/2/2024,248
2/1/2024,250
1/31/2024,252
1/30/2024,236
1/29/2024,242
1/26/2024,242
1/25/2024,244
1/24/2024,246
1/23/2024,244
1/22/2024,254
1/19/2024,256
1/18/2024,254
1/17/2024,246
1/16/2024,248
1/15/2024,248
1/12/2024,254
1/11/2024,262
1/10/2024,264
1/9/2024,246
1/8/2024,264
1/5/2024,268
1/4/2024,266
1/3/2024,266
1/2/2024,250
12/29/2023,246
12/28/2023,246
12/27/2023,246
12/22/2023,248
12/21/2023,246
12/20/2023,240
12/19/2023,242
12/18/2023,244
12/15/2023,248
12/14/2023,250
12/13/2023,256
12/12/2023,254
12/11/2023,248
12/8/2023,248
12/7/2023,250
12/6/2023,246
12/5/2023,258
12/4/2023,260
12/1/2023,268
11/30/2023,268
11/29/2023,270
11/28/2023,282
11/27/2023,300
11/24/2023,288
11/23/2023,286
11/22/2023,290
11/21/2023,290
11/20/2023,286
11/17/2023,310
11/16/2023,312
11/15/2023,318
11/14/2023,318
11/13/2023,316
11/10/2023,298
11/9/2023,300
11/8/2023,298
11/7/2023,302
11/6/2023,280
11/3/2023,280
11/2/2023,272
11/1/2023,268
10/31/2023,290
10/30/2023,284
10/27/2023,298
10/26/2023,304
10/25/2023,304
10/24/2023,310
10/23/2023,278
10/20/2023,280
10/19/2023,246
10/18/2023,240
10/17/2023,250
10/16/2023,258
10/13/2023,238
10/12/2023,226
10/11/2023,226
10/10/2023,226
10/9/2023,224
10/6/2023,222
10/5/2023,234
10/4/2023,242
10/3/2023,244
10/2/2023,272
9/29/2023,276
9/27/2023,274
9/26/2023,278
9/25/2023,278
9/22/2023,282
9/21/2023,280
9/20/2023,272
9/19/2023,284
9/18/2023,264
9/15/2023,290
9/14/2023,296
9/13/2023,294
9/12/2023,290
9/11/2023,294
9/8/2023,296
9/7/2023,296
9/6/2023,296
9/5/2023,298
9/4/2023,314
9/1/2023,336
8/31/2023,342
8/30/2023,356
8/29/2023,364
8/28/2023,366
8/25/2023,358
8/24/2023,358
8/23/2023,356
8/22/2023,360
8/21/2023,348
8/18/2023,328
8/16/2023,380
8/15/2023,380
8/14/2023,386
8/11/2023,418
8/10/2023,412
8/9/2023,410
8/8/2023,392
8/7/2023,392
8/4/2023,368
8/3/2023,372
8/2/2023,360
8/1/2023,352
7/31/2023,330
7/28/2023,320
7/27/2023,322
7/26/2023,344
7/25/2023,338
7/24/2023,318
7/21/2023,298
7/20/2023,294
7/18/2023,304
7/17/2023,302
7/14/2023,292
7/13/2023,296
7/12/2023,310
7/11/2023,248
7/10/2023,238
7/7/2023,234
7/6/2023,238
7/5/2023,236
7/4/2023,240
7/3/2023,246
6/27/2023,268
6/26/2023,266
6/23/2023,262
6/22/2023,264
6/21/2023,264
6/20/2023,264
6/19/2023,268
6/16/2023,264
6/15/2023,262
6/14/2023,254
6/13/2023,256
6/12/2023,258
6/9/2023,256
6/8/2023,254
6/7/2023,258
6/6/2023,250
6/5/2023,248
5/31/2023,254
5/30/2023,256
5/29/2023,258
5/26/2023,254
5/25/2023,250
5/24/2023,244
5/23/2023,246
5/22/2023,244
5/19/2023,242
5/17/2023,238
5/16/2023,234
5/15/2023,234
5/12/2023,236
5/11/2023,246
5/10/2023,258
5/9/2023,254
5/8/2023,248
5/5/2023,248
5/4/2023,252
5/3/2023,266
5/2/2023,260
4/28/2023,256
4/27/2023,264
4/26/2023,262
4/18/2023,264
4/17/2023,256
4/14/2023,256
4/13/2023,254
4/12/2023,266
4/11/2023,280
4/10/2023,276
4/6/2023,276
4/5/2023,272
4/4/2023,280
4/3/2023,274
3/31/2023,264
3/30/2023,260
3/29/2023,270
3/28/2023,280
3/27/2023,276
3/24/2023,296
3/21/2023,276
3/20/2023,268
3/17/2023,268
3/16/2023,288
3/15/2023,288
3/14/2023,270
3/13/2023,266
3/10/2023,286
3/9/2023,272
