Date,Price
12/30/2024,"2,710"
12/27/2024,"2,750"
12/24/2024,"2,740"
12/23/2024,"2,650"
12/20/2024,"2,550"
12/19/2024,"2,530"
12/18/2024,"2,570"
12/17/2024,"2,620"
12/16/2024,"2,660"
12/13/2024,"2,790"
12/12/2024,"2,820"
12/11/2024,"2,860"
12/10/2024,"2,770"
12/9/2024,"2,740"
12/6/2024,"2,760"
12/5/2024,"2,770"
12/4/2024,"2,840"
12/3/2024,"2,820"
12/2/2024,"2,680"
11/29/2024,"2,710"
11/28/2024,"2,720"
11/26/2024,"2,710"
11/25/2024,"2,740"
11/22/2024,"2,750"
11/21/2024,"2,770"
11/20/2024,"2,680"
11/19/2024,"2,780"
11/18/2024,"2,590"
11/15/2024,"2,540"
11/14/2024,"2,530"
11/13/2024,"2,580"
11/12/2024,"2,600"
11/11/2024,"2,690"
11/8/2024,"2,750"
11/7/2024,"2,760"
11/6/2024,"2,740"
11/5/2024,"2,770"
11/4/2024,"2,800"
11/1/2024,"2,780"
10/31/2024,"2,820"
10/30/2024,"2,900"
10/29/2024,"2,900"
10/28/2024,"2,920"
10/25/2024,"2,910"
10/24/2024,"2,900"
10/23/2024,"2,940"
10/22/2024,"3,010"
10/21/2024,"3,100"
10/18/2024,"3,100"
10/17/2024,"3,040"
10/16/2024,"3,000"
10/15/2024,"2,940"
10/14/2024,"2,900"
10/11/2024,"2,940"
10/10/2024,"2,950"
10/9/2024,"2,960"
10/8/2024,"2,990"
10/7/2024,"2,900"
10/4/2024,"2,880"
10/3/2024,"2,890"
10/2/2024,"2,920"
10/1/2024,"3,020"
9/30/2024,"2,990"
9/27/2024,"3,050"
9/26/2024,"3,170"
9/25/2024,"3,190"
9/24/2024,"3,160"
9/23/2024,"3,170"
9/20/2024,"3,150"
9/19/2024,"3,140"
9/18/2024,"3,120"
9/17/2024,"3,090"
9/13/2024,"3,110"
9/12/2024,"3,050"
9/11/2024,"3,040"
9/10/2024,"3,030"
9/9/2024,"3,030"
9/6/2024,"3,040"
9/5/2024,"3,020"
9/4/2024,"3,080"
9/3/2024,"3,080"
9/2/2024,"3,140"
8/30/2024,"3,060"
8/29/2024,"3,030"
8/28/2024,"2,980"
8/27/2024,"2,990"
8/26/2024,"2,980"
8/23/2024,"2,950"
8/22/2024,"2,920"
8/21/2024,"2,970"
8/20/2024,"2,980"
8/19/2024,"2,930"
8/16/2024,"2,960"
8/15/2024,"2,870"
8/14/2024,"2,860"
8/13/2024,"2,850"
8/12/2024,"2,870"
8/9/2024,"2,830"
8/8/2024,"2,850"
8/7/2024,"2,820"
8/6/2024,"2,790"
8/5/2024,"2,790"
8/2/2024,"2,850"
8/1/2024,"2,880"
7/31/2024,"2,880"
7/30/2024,"2,880"
7/29/2024,"3,050"
7/26/2024,"3,100"
7/25/2024,"3,090"
7/24/2024,"3,060"
7/23/2024,"3,160"
7/22/2024,"3,100"
7/19/2024,"3,140"
7/18/2024,"3,210"
7/17/2024,"3,250"
7/16/2024,"3,100"
7/15/2024,"3,160"
7/12/2024,"3,220"
7/11/2024,"3,180"
7/10/2024,"3,160"
7/9/2024,"3,080"
7/8/2024,"3,080"
7/5/2024,"3,020"
7/4/2024,"2,960"
7/3/2024,"3,030"
7/2/2024,"3,040"
7/1/2024,"3,090"
6/28/2024,"3,130"
6/27/2024,"3,030"
6/26/2024,"3,000"
6/25/2024,"2,990"
6/24/2024,"2,950"
6/21/2024,"2,950"
6/20/2024,"2,840"
6/19/2024,"2,830"
6/14/2024,"2,720"
6/13/2024,"2,840"
6/12/2024,"2,920"
6/11/2024,"2,880"
6/10/2024,"3,010"
6/7/2024,"3,050"
6/6/2024,"3,050"
6/5/2024,"3,060"
6/4/2024,"3,000"
6/3/2024,"2,930"
5/31/2024,"2,900"
5/30/2024,"2,810"
5/29/2024,"2,810"
5/28/2024,"2,860"
5/27/2024,"2,810"
5/22/2024,"2,940"
5/21/2024,"2,950"
5/20/2024,"2,990"
5/17/2024,"2,990"
5/16/2024,"3,010"
5/15/2024,"3,100"
5/14/2024,"3,120"
5/13/2024,"3,090"
5/8/2024,"3,080"
5/7/2024,"3,090"
5/6/2024,"3,050"
5/3/2024,"3,160"
5/2/2024,"3,120"
4/30/2024,"3,170"
4/29/2024,"3,080"
4/26/2024,"3,030"
4/25/2024,"3,040"
4/24/2024,"3,040"
4/23/2024,"3,100"
4/22/2024,"3,170"
4/19/2024,"3,150"
4/18/2024,"3,250"
4/17/2024,"3,200"
4/16/2024,"3,220"
4/5/2024,"3,430"
4/4/2024,"3,450"
4/3/2024,"3,420"
4/2/2024,"3,490"
4/1/2024,"3,510"
3/28/2024,"3,470"
3/27/2024,"3,490"
3/26/2024,"3,620"
3/25/2024,"3,730"
3/22/2024,"3,900"
3/21/2024,"3,890"
3/20/2024,"3,930"
3/19/2024,"3,940"
3/18/2024,"3,920"
3/15/2024,"3,970"
3/14/2024,"3,960"
3/13/2024,"3,900"
3/8/2024,"3,860"
3/7/2024,"3,900"
3/6/2024,"3,900"
3/5/2024,"3,870"
3/4/2024,"3,940"
3/1/2024,"3,920"
2/29/2024,"4,000"
2/28/2024,"3,990"
2/27/2024,"3,990"
2/26/2024,"4,090"
2/23/2024,"4,100"
2/22/2024,"4,090"
2/21/2024,"4,180"
2/20/2024,"4,210"
2/19/2024,"4,160"
2/16/2024,"4,160"
2/15/2024,"4,030"
2/13/2024,"3,980"
2/12/2024,"4,000"
2/7/2024,"3,980"
2/6/2024,"3,980"
2/5/2024,"3,980"
2/2/2024,"3,990"
2/1/2024,"4,040"
1/31/2024,"3,960"
1/30/2024,"4,000"
1/29/2024,"4,010"
1/26/2024,"3,980"
1/25/2024,"3,980"
1/24/2024,"3,970"
1/23/2024,"3,950"
1/22/2024,"3,980"
1/19/2024,"3,940"
1/18/2024,"3,950"
1/17/2024,"3,990"
1/16/2024,"4,010"
1/15/2024,"4,000"
1/12/2024,"4,010"
1/11/2024,"3,990"
1/10/2024,"4,000"
1/9/2024,"3,960"
1/8/2024,"3,890"
1/5/2024,"3,890"
1/4/2024,"3,970"
1/3/2024,"3,960"
1/2/2024,"3,990"
12/29/2023,"3,950"
12/28/2023,"3,960"
12/27/2023,"3,940"
12/22/2023,"3,960"
12/21/2023,"3,950"
12/20/2023,"3,960"
12/19/2023,"3,970"
12/18/2023,"3,970"
12/15/2023,"3,980"
12/14/2023,"3,940"
12/13/2023,"3,920"
12/12/2023,"3,910"
12/11/2023,"3,980"
12/8/2023,"3,940"
12/7/2023,"3,910"
12/6/2023,"3,920"
12/5/2023,"3,850"
12/4/2023,"3,810"
12/1/2023,"3,830"
11/30/2023,"3,760"
11/29/2023,"3,720"
11/28/2023,"3,770"
11/27/2023,"3,680"
11/24/2023,"3,620"
11/23/2023,"3,600"
11/22/2023,"3,610"
11/21/2023,"3,620"
11/20/2023,"3,590"
11/17/2023,"3,550"
11/16/2023,"3,540"
11/15/2023,"3,550"
11/14/2023,"3,500"
11/13/2023,"3,520"
11/10/2023,"3,550"
11/9/2023,"3,530"
11/8/2023,"3,520"
11/7/2023,"3,570"
11/6/2023,"3,650"
11/3/2023,"3,570"
11/2/2023,"3,620"
